ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2023;SET;Setembro;9;GASOLINA A;2269399,019425473;195277610,0;b;US$ FOB
2023;OUT;Outubro;10;GASOLINA A;1628346,8625660269;141526505,0;b;US$ FOB
2023;NOV;Novembro;11;GASOLINA A;1196540,9088831216;97992292,0;b;US$ FOB
2023;DEZ;Dezembro;12;GASOLINA A;1206818,9769074596;96095301,0;b;US$ FOB
2024;JAN;Janeiro;1;GASOLINA A;2582325,3456753916;219173849,0;b;US$ FOB
2024;FEV;Fevereiro;2;GASOLINA A;1017734,309199527;91596528,0;b;US$ FOB
2024;MAR;Março;3;GASOLINA A;1738833,979516527;168289758,0;b;US$ FOB
2024;ABR;Abril;4;GASOLINA A;764721,1941159053;67882272,0;b;US$ FOB
2024;MAI;Maio;5;GASOLINA A;1843171,0392454327;152938984,0;b;US$ FOB
2024;JUN;Junho;6;GASOLINA A;506372,79019850004;40950116,0;b;US$ FOB
2024;JUL;Julho;7;GASOLINA A;1607346,2749431625;137050004,0;b;US$ FOB
2024;AGO;Agosto;8;GASOLINA A;1732087,5123110404;142008424,0;b;US$ FOB
2024;SET;Setembro;9;GASOLINA A;1103852,8322665133;88504371,0;b;US$ FOB
2024;OUT;Outubro;10;GASOLINA A;1611332,1275401623;132974305,0;b;US$ FOB
2024;NOV;Novembro;11;GASOLINA A;746678,194151446;58720408,0;b;US$ FOB
2024;DEZ;Dezembro;12;GASOLINA A;1978164,9304053513;148416412,0;b;US$ FOB
2025;JAN;Janeiro;1;GASOLINA A;2393566,1501357304;191543571,0;b;US$ FOB
2025;FEV;Fevereiro;2;GASOLINA A;739921,5272540676;58519657,0;b;US$ FOB
2025;MAR;Março;3;GASOLINA A;723472,8326294867;55950142,0;b;US$ FOB
2025;ABR;Abril;4;GASOLINA A;718520,5932247028;58059587,0;b;US$ FOB
2025;MAI;Maio;5;GASOLINA A;1704184,7761854462;124324515,0;b;US$ FOB
2025;JUN;Junho;6;GASOLINA A;1159219,4627740541;86330392,0;b;US$ FOB
2025;JUL;Julho;7;GASOLINA A;1432621,2774642028;111100614,0;b;US$ FOB
2025;AGO;Agosto;8;GASOLINA A;942290,579672757;71225003,0;b;US$ FOB
2025;SET;Setembro;9;GASOLINA A;996479,8682449594;76278530,0;b;US$ FOB
2025;OUT;Outubro;10;GASOLINA A;2133444,3852872844;150476214,0;b;US$ FOB
2025;NOV;Novembro;11;GASOLINA A;3303762,7107914463;242647117,0;b;US$ FOB
2025;DEZ;Dezembro;12;GASOLINA A;5746264,24570715;367250591,0;b;US$ FOB
2026;JAN;Janeiro;1;GASOLINA A;1697989,6363256893;109385848,0;b;US$ FOB
2026;FEV;Fevereiro;2;GASOLINA A;2585236,992221568;180580827,0;b;US$ FOB
2026;MAR;Março;3;GASOLINA A;2125396,1314056353;177169427,0;b;US$ FOB
2026;ABR;Abril;4;GASOLINA A;1622091,162035662;169615825,0;b;US$ FOB
2026;MAI;Maio;5;GASOLINA A;1395081,396453527;174885807,0;b;US$ FOB
