ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2011;MAR;Março;3;ASFALTO;b;44248,813350000004
2011;ABR;Abril;4;ASFALTO;b;64432,81364
2011;MAI;Maio;5;ASFALTO;b;34329,78298
2011;JUN;Junho;6;ASFALTO;b;32254,14568
2011;JUL;Julho;7;ASFALTO;b;503,1848
2011;AGO;Agosto;8;ASFALTO;b;76334,8278064
2011;SET;Setembro;9;ASFALTO;b;65640,45716
2011;OUT;Outubro;10;ASFALTO;b;104725,3365
2011;NOV;Novembro;11;ASFALTO;b;43538,06482
2011;DEZ;Dezembro;12;ASFALTO;b;72694,6048712
2012;JAN;Janeiro;1;ASFALTO;b;35216,64619
2012;FEV;Fevereiro;2;ASFALTO;b;32876,83687
2012;MAR;Março;3;ASFALTO;b;78937,84573160001
2012;ABR;Abril;4;ASFALTO;b;65371,866932000004
2012;MAI;Maio;5;ASFALTO;b;111248,21924480001
2012;JUN;Junho;6;ASFALTO;b;141082,0521732
2012;JUL;Julho;7;ASFALTO;b;63872,492819600004
2012;AGO;Agosto;8;ASFALTO;b;44920,503694
2012;SET;Setembro;9;ASFALTO;b;43971,0860224
2012;OUT;Outubro;10;ASFALTO;b;737,5277795999999
2012;NOV;Novembro;11;ASFALTO;b;33061,4750096
2012;DEZ;Dezembro;12;ASFALTO;b;832,4026600000001
2013;JAN;Janeiro;1;ASFALTO;b;840,3677072000002
2013;FEV;Fevereiro;2;ASFALTO;b;847,8479788000001
2013;MAR;Março;3;ASFALTO;b;44822,750842
2013;ABR;Abril;4;ASFALTO;b;955,3392976000001
2013;MAI;Maio;5;ASFALTO;b;154812,62149360002
2013;JUN;Junho;6;ASFALTO;b;88631,0688544
2013;JUL;Julho;7;ASFALTO;b;1081,7061828
2013;AGO;Agosto;8;ASFALTO;b;1093,2180692
2013;SET;Setembro;9;ASFALTO;b;44696,739868
2013;OUT;Outubro;10;ASFALTO;b;35270,984012
2013;NOV;Novembro;11;ASFALTO;b;81085,26050240001
2013;DEZ;Dezembro;12;ASFALTO;b;79104,30785440002
2014;JAN;Janeiro;1;ASFALTO;b;553,9696464
2014;FEV;Fevereiro;2;ASFALTO;b;490,56222520000006
2014;MAR;Março;3;ASFALTO;b;1398,1235124000002
2014;ABR;Abril;4;ASFALTO;b;1669,1867096
2014;MAI;Maio;5;ASFALTO;b;781,2373568
2014;JUN;Junho;6;ASFALTO;b;574,5388592
2014;JUL;Julho;7;ASFALTO;b;83093,0353548
2014;AGO;Agosto;8;ASFALTO;b;697,09504
2014;SET;Setembro;9;ASFALTO;b;1194,8552624000001
2014;OUT;Outubro;10;ASFALTO;b;33026,09866360002
2014;NOV;Novembro;11;ASFALTO;b;812,7170888
2014;DEZ;Dezembro;12;ASFALTO;b;43986,19383920001
2015;JAN;Janeiro;1;ASFALTO;b;44451,0015936
2015;FEV;Fevereiro;2;ASFALTO;b;523,6067392
2015;MAR;Março;3;ASFALTO;b;522,3242316
2015;ABR;Abril;4;ASFALTO;b;532,7315659999999
2015;MAI;Maio;5;ASFALTO;b;667,2169084000001
2015;JUN;Junho;6;ASFALTO;b;403,345572
2015;JUL;Julho;7;ASFALTO;b;474,27621960000005
2015;AGO;Agosto;8;ASFALTO;b;579,6013892000001
2015;SET;Setembro;9;ASFALTO;b;303,84998240000004
2015;OUT;Outubro;10;ASFALTO;b;908,5062928
2015;NOV;Novembro;11;ASFALTO;b;686,8902068
2015;DEZ;Dezembro;12;ASFALTO;b;623,1023288
2016;JAN;Janeiro;1;ASFALTO;b;448,20265599999993
2016;FEV;Fevereiro;2;ASFALTO;b;630,5335092
2016;MAR;Março;3;ASFALTO;b;899,1973740000001
2016;ABR;Abril;4;ASFALTO;b;331,488328
2016;MAI;Maio;5;ASFALTO;b;61,23513560000001
2016;JUN;Junho;6;ASFALTO;b;331,67242000000005
2016;JUL;Julho;7;ASFALTO;b;266,01294
2016;AGO;Agosto;8;ASFALTO;b;680,3058496
2016;SET;Setembro;9;ASFALTO;b;345,8413676
2016;OUT;Outubro;10;ASFALTO;b;326,64670839999997
2016;NOV;Novembro;11;ASFALTO;b;824,9346612
2016;DEZ;Dezembro;12;ASFALTO;b;309,6550168
2017;JAN;Janeiro;1;ASFALTO;b;595,2860276
2017;FEV;Fevereiro;2;ASFALTO;b;385,1695552
2017;MAR;Março;3;ASFALTO;b;1356,0584904000002
2017;ABR;Abril;4;ASFALTO;b;909,8869827999998
2017;MAI;Maio;5;ASFALTO;b;391,04822640000003
2017;JUN;Junho;6;ASFALTO;b;1223,6165692000002
2017;JUL;Julho;7;ASFALTO;b;643,7942695999999
2017;AGO;Agosto;8;ASFALTO;b;287,25102039999996
2017;SET;Setembro;9;ASFALTO;b;354,08868920000003
2017;OUT;Outubro;10;ASFALTO;b;965,071628
2017;NOV;Novembro;11;ASFALTO;b;737,1657319999999
2017;DEZ;Dezembro;12;ASFALTO;b;1514,8869316
2018;JAN;Janeiro;1;ASFALTO;b;184,920414
2018;FEV;Fevereiro;2;ASFALTO;b;830,1996924000001
2018;MAR;Março;3;ASFALTO;b;1066,0890448
2018;ABR;Abril;4;ASFALTO;b;241,46734
2018;MAI;Maio;5;ASFALTO;b;483,10649920000003
2018;JUN;Junho;6;ASFALTO;b;1193,4807088
2018;JUL;Julho;7;ASFALTO;b;466,56890119999997
2018;AGO;Agosto;8;ASFALTO;b;702,9859839999999
2018;SET;Setembro;9;ASFALTO;b;531,2833756
2018;OUT;Outubro;10;ASFALTO;b;502,25206719999994
2018;NOV;Novembro;11;ASFALTO;b;694,2170684
2018;DEZ;Dezembro;12;ASFALTO;b;723,0704212
2019;JAN;Janeiro;1;ASFALTO;b;669,5794224
2019;FEV;Fevereiro;2;ASFALTO;b;1048,7537148000001
2019;MAR;Março;3;ASFALTO;b;745,8916928000001
2019;ABR;Abril;4;ASFALTO;b;1519,2437756
2019;MAI;Maio;5;ASFALTO;b;1596,5440064000002
2019;JUN;Junho;6;ASFALTO;b;1169,5119304
2019;JUL;Julho;7;ASFALTO;b;10027,2273748
2019;AGO;Agosto;8;ASFALTO;b;1498,6377444000002
2019;SET;Setembro;9;ASFALTO;b;4151,88824
2019;OUT;Outubro;10;ASFALTO;b;7930,296766800001
2019;NOV;Novembro;11;ASFALTO;b;3938,5010664000006
2019;DEZ;Dezembro;12;ASFALTO;b;5703,0228864
2020;JAN;Janeiro;1;ASFALTO;b;7636,5411624
2020;FEV;Fevereiro;2;ASFALTO;b;13710,546247200002
2020;MAR;Março;3;ASFALTO;b;13231,857956000002
2020;ABR;Abril;4;ASFALTO;b;26349,296597600005
2020;MAI;Maio;5;ASFALTO;b;37729,0908512
2020;JUN;Junho;6;ASFALTO;b;10758,3917076
2020;JUL;Julho;7;ASFALTO;b;20632,4668112
2020;AGO;Agosto;8;ASFALTO;b;6021,2259084
