ano;produto;volume_barris
2005;COQUE;14366919,91465052
2005;GASOLINA A;447598,5702176685
2005;GASOLINA DE AVIAÇÃO;0,0
2005;GLP;5960187,68704125
2005;LUBRIFICANTE;2138576,7833556226
2005;NAFTA;26889915,28682425
2005;OUTROS NÃO ENERGÉTICOS;167500,646887419
2005;PARAFINA;33378,4338765
2005;QUEROSENE DE AVIAÇÃO;2040804,7573135416
2005;QUEROSENE ILUMINANTE;0,0
2005;SOLVENTE;1361388,5713735898
2005;ÓLEO COMBUSTÍVEL;332785,9677624976
2005;ÓLEO DIESEL;14915061,091249436
2006;ASFALTO;50195,10767800001
2006;COQUE;16211934,315443212
2006;GASOLINA A;177670,9247955256
2006;GASOLINA DE AVIAÇÃO;0,0
2006;GLP;9972278,237850834
2006;LUBRIFICANTE;1823298,504421097
2006;NAFTA;26908810,978124972
2006;OUTROS NÃO ENERGÉTICOS;98412,55850167824
2006;PARAFINA;75620,575392
2006;QUEROSENE DE AVIAÇÃO;4408056,675785595
2006;QUEROSENE ILUMINANTE;0,0
2006;SOLVENTE;1313478,248264602
2006;ÓLEO COMBUSTÍVEL;1582990,8810686083
2006;ÓLEO DIESEL;22297845,284464404
2007;ASFALTO;49282,1156768
2007;COQUE;19695923,85553577
2007;GASOLINA A;62975,45110006739
2007;GASOLINA DE AVIAÇÃO;144,64867633423182
2007;GLP;11287439,633255834
2007;LUBRIFICANTE;2739220,1765664234
2007;NAFTA;26270953,864555813
2007;OUTROS NÃO ENERGÉTICOS;111105,49699989584
2007;PARAFINA;134867,1568785
2007;QUEROSENE DE AVIAÇÃO;5605786,510573279
2007;QUEROSENE ILUMINANTE;0,0
2007;SOLVENTE;1615269,341761606
2007;ÓLEO COMBUSTÍVEL;735104,7233202963
2007;ÓLEO DIESEL;32074293,782411117
2008;ASFALTO;30503,676216
2008;COQUE;22240549,697964597
2008;GASOLINA A;945,2685885714286
2008;GASOLINA DE AVIAÇÃO;0,0
2008;GLP;13767294,90331465
2008;LUBRIFICANTE;3555517,3612245372
2008;NAFTA;22603861,93927647
2008;OUTROS NÃO ENERGÉTICOS;162986,60167177083
2008;PARAFINA;146417,096629
2008;QUEROSENE DE AVIAÇÃO;9415285,525002716
2008;QUEROSENE ILUMINANTE;0,0
2008;SOLVENTE;2838157,075214924
2008;ÓLEO COMBUSTÍVEL;1247260,3260259726
2008;ÓLEO DIESEL;36665245,93793631
2009;ASFALTO;185668,16026635142
2009;COQUE;20670755,07213847
2009;GASOLINA A;136,51080826152915
2009;GASOLINA DE AVIAÇÃO;19197,00261170799
2009;GLP;16080995,025106251
2009;LUBRIFICANTE;2888759,0435291086
2009;NAFTA;25911448,78027808
2009;OUTROS NÃO ENERGÉTICOS;219045,45784060186
