codigo_tse,uf,nome_municipio,codigo_ibge,POP_2022
33375,BA,APORÁ,2901908,16909
33405,BA,APUAREMA,2901957,6900
33391,BA,ARACATU,2902005,13819
33413,BA,ARACI,2902104,51377
33430,BA,ARAMARI,2902203,9781
30732,BA,ARATACA,2902252,8219
33456,BA,ARATUÍPE,2902302,10006
33383,BA,ARAÇÁS,2902054,12605
33472,BA,AURELINO LEAL,2902401,11782
33499,BA,BAIANÓPOLIS,2902500,13618
33510,BA,BAIXA GRANDE,2902609,17880
33529,BA,BANZAÊ,2902658,11869
33537,BA,BARRA,2902708,50543
33553,BA,BARRA DA ESTIVA,2902807,26031
33570,BA,BARRA DO CHOÇA,2902906,40025
33596,BA,BARRA DO MENDES,2903003,13852
33618,BA,BARRA DO ROCHA,2903102,6682
33634,BA,BARREIRAS,2903201,165413
30759,BA,BARRO ALTO,2903235,13761
33650,BA,BARRO PRETO,2903300,5820
30775,BA,BARROCAS,2903276,15396
33677,BA,BELMONTE,2903409,20565
33693,BA,BELO CAMPO,2903508,18399
33715,BA,BIRITINGA,2903607,15151
33731,BA,BOA NOVA,2903706,14160
33758,BA,BOA VISTA DO TUPIM,2903805,19320
33774,BA,BOM JESUS DA LAPA,2903904,74040
33782,BA,BOM JESUS DA SERRA,2903953,9572
33790,BA,BONINAL,2904001,13653
33804,BA,BONITO,2904050,15837
33812,BA,BOQUIRA,2904100,20588
33839,BA,BOTUPORÃ,2904209,11040
33871,BA,BREJOLÂNDIA,2904407,9114
33855,BA,BREJÕES,2904308,12914
33898,BA,BROTAS DE MACAÚBAS,2904506,12467
33910,BA,BRUMADO,2904605,70268
33936,BA,BUERAREMA,2904704,16880
30791,BA,BURITIRAMA,2904753,19514
33952,BA,CAATIBA,2904803,6915
33960,BA,CABACEIRAS DO PARAGUAÇU,2904852,19432
33979,BA,CACHOEIRA,2904902,31982
33995,BA,CACULÉ,2905008,22412
34010,BA,CAEM,2905107,10360
34029,BA,CAETANOS,2905156,13242
34037,BA,CAETITÉ,2905206,52099
34053,BA,CAFARNAUM,2905305,17975
34070,BA,CAIRU,2905404,17591
34096,BA,CALDEIRÃO GRANDE,2905503,13063
34118,BA,CAMACAN,2905602,22460
34150,BA,CAMAMU,2905800,30480
34134,BA,CAMAÇARI,2905701,334195
34177,BA,CAMPO ALEGRE DE LOURDES,2905909,30659
34193,BA,CAMPO FORMOSO,2906006,68571
34231,BA,CANARANA,2906204,23491
34258,BA,CANAVIEIRAS,2906303,33080
34274,BA,CANDEAL,2906402,7785
34290,BA,CANDEIAS,2906501,77026
34312,BA,CANDIBA,2906600,13007
34355,BA,CANSANÇÃO,2906808,39475
30856,BA,CANUDOS,2906824,15906
34215,BA,CANÁPOLIS,2906105,10225
30813,BA,CAPELA DO ALTO ALEGRE,2906857,10754
30830,BA,CAPIM GROSSO,2906873,33344
34371,BA,CARAVELAS,2906907,21612
34363,BA,CARAÍBAS,2906899,9938
34398,BA,CARDEAL DA SILVA,2907004,8376
34410,BA,CARINHANHA,2907103,28869
34436,BA,CASA NOVA,2907202,71572
34452,BA,CASTRO ALVES,2907301,24700
34479,BA,CATOLÂNDIA,2907400,3480
34495,BA,CATU,2907509,48137
34509,BA,CATURAMA,2907558,8847
34517,BA,CENTRAL,2907608,16223
34533,BA,CHORROCHÓ,2907707,10587
34576,BA,CIPÓ,2907905,17246
34592,BA,COARACI,2908002,17949
34614,BA,COCOS,2908101,19156
34630,BA,CONCEIÇÃO DA FEIRA,2908200,22936
34657,BA,CONCEIÇÃO DO ALMEIDA,2908309,15401
34673,BA,CONCEIÇÃO DO COITÉ,2908408,70202
34690,BA,CONCEIÇÃO DO JACUÍPE,2908507,34994
34711,BA,CONDE,2908606,24433
34738,BA,CONDEÚBA,2908705,17059
34754,BA,CONTENDAS DO SINCORÁ,2908804,4750
34770,BA,CORAÇÃO DE MARIA,2908903,28340
34797,BA,CORDEIROS,2909000,7555
34819,BA,CORIBE,2909109,14158
34835,BA,CORONEL JOÃO SÁ,2909208,17000
34851,BA,CORRENTINA,2909307,32709
34878,BA,COTEGIPE,2909406,13059
34894,BA,CRAVOLÂNDIA,2909505,4445
34932,BA,CRISTÓPOLIS,2909703,14002
34916,BA,CRISÓPOLIS,2909604,19720
34959,BA,CRUZ DAS ALMAS,2909802,60633
34975,BA,CURAÇÁ,2909901,33603
34339,BA,CÂNDIDO SALES,2906709,25278
34550,BA,CÍCERO DANTAS,2907806,30836
30872,BA,DIAS D'ÁVILA,2910057,69211
35017,BA,DOM BASÍLIO,2910107,11905
35033,BA,DOM MACEDO COSTA,2910206,4418
34991,BA,DÁRIO MEIRA,2910008,10025
35050,BA,ELÍSIO MEDRADO,2910305,7782
35076,BA,ENCRUZILHADA,2910404,19111
35092,BA,ENTRE RIOS,2910503,38880
35114,BA,ESPLANADA,2910602,34033
35130,BA,EUCLIDES DA CUNHA,2910701,65187
30058,BA,EUNÁPOLIS,2910727,112477
35149,BA,FEIRA DA MATA,2910776,5618
35157,BA,FEIRA DE SANTANA,2910800,652592
30910,BA,FILADÉLFIA,2910859,17892
35173,BA,FIRMINO ALVES,2910909,5925
35190,BA,FLORESTA AZUL,2911006,11068
35211,BA,FORMOSA DO RIO PRETO,2911105,25185
30899,BA,FÁTIMA,2910750,17899
35238,BA,GANDU,2911204,29776
30937,BA,GAVIÃO,2911253,4357
35254,BA,GENTIO DO OURO,2911303,11896
35270,BA,GLÓRIA,2911402,16698
35297,BA,GONGOGI,2911501,5549
35319,BA,GOVERNADOR MANGABEIRA,2911600,20604
30953,BA,GUAJERU,2911659,8054
35335,BA,GUANAMBI,2911709,87580
35351,BA,GUARATINGA,2911808,20338
30970,BA,HELIÓPOLIS,2911857,12301
35378,BA,IAÇU,2911907,25178
35394,BA,IBIASSUCÊ,2912004,10426
35416,BA,IBICARAÍ,2912103,21688
35432,BA,IBICOARA,2912202,20874
35459,BA,IBICUÍ,2912301,13791
35475,BA,IBIPEBA,2912400,18540
35513,BA,IBIPITANGA,2912509,13905
35530,BA,IBIQUERA,2912608,3722
35556,BA,IBIRAPITANGA,2912707,27341
35572,BA,IBIRAPUÃ,2912806,8331
35599,BA,IBIRATAIA,2912905,19613
35610,BA,IBITIARA,2913002,14622
35637,BA,IBITITÁ,2913101,17954
35653,BA,IBOTIRAMA,2913200,26611
35670,BA,ICHU,2913309,6192
35696,BA,IGAPORÃ,2913408,17022
35700,BA,IGRAPIÚNA,2913457,13077
35718,BA,IGUAÍ,2913507,25114
35734,BA,ILHÉUS,2913606,197163
35750,BA,INHAMBUPE,2913705,33771
35777,BA,IPECAETÁ,2913804,16230
35793,BA,IPIAÚ,2913903,43078
35815,BA,IPIRÁ,2914000,58094
35831,BA,IPUPIARA,2914109,9925
35858,BA,IRAJUBA,2914208,6100
35874,BA,IRAMAIA,2914307,10755
35890,BA,IRAQUARA,2914406,25590
35912,BA,IRARÁ,2914505,27984
35939,BA,IRECÊ,2914604,76491
35947,BA,ITABELA,2914653,27691
35955,BA,ITABERABA,2914703,67605
35971,BA,ITABUNA,2914802,185500
35998,BA,ITACARÉ,2914901,28214
36013,BA,ITAETÉ,2915007,14031
36030,BA,ITAGI,2915106,13925
36056,BA,ITAGIBÁ,2915205,15556
36072,BA,ITAGIMIRIM,2915304,7037
36080,BA,ITAGUAÇU DA BAHIA,2915353,13116
36099,BA,ITAJU DO COLÔNIA,2915403,6033
36110,BA,ITAJUÍPE,2915502,19913
36137,BA,ITAMARAJU,2915601,60831
36153,BA,ITAMARI,2915700,7050
36170,BA,ITAMBÉ,2915809,26420
36196,BA,ITANAGRA,2915908,5814
36218,BA,ITANHÉM,2916005,19025
36234,BA,ITAPARICA,2916104,19738
36277,BA,ITAPEBI,2916302,9779
36293,BA,ITAPETINGA,2916401,68704
36315,BA,ITAPICURU,2916500,32793
36331,BA,ITAPITANGA,2916609,10320
36250,BA,ITAPÉ,2916203,10327
36358,BA,ITAQUARA,2916708,8175
36374,BA,ITARANTIM,2916807,17035
36382,BA,ITATIM,2916856,15749
36390,BA,ITIRUÇU,2916906,11016
36412,BA,ITIÚBA,2917003,33671
36439,BA,ITORORÓ,2917102,17729
36455,BA,ITUAÇU,2917201,18992
36471,BA,ITUBERÁ,2917300,21974
30660,BA,IUIU,2917334,11101
30678,BA,JABORANDI,2917359,9269
36498,BA,JACARACI,2917409,14625
36510,BA,JACOBINA,2917508,88296
36536,BA,JAGUAQUARA,2917607,46026
36552,BA,JAGUARARI,2917706,32495
36579,BA,JAGUARIPE,2917805,20237
36595,BA,JANDAÍRA,2917904,9112
36617,BA,JEQUIÉ,2918001,156408
36633,BA,JEREMOABO,2918100,37519
36650,BA,JIQUIRIÇÁ,2918209,13623
36676,BA,JITAÚNA,2918308,14614
30996,BA,JOÃO DOURADO,2918357,26186
36692,BA,JUAZEIRO,2918407,244406
36706,BA,JUCURUÇU,2918456,9971
36714,BA,JUSSARA,2918506,16922
30694,BA,JUSSARI,2918555,5902
36730,BA,JUSSIAPE,2918605,7381
36757,BA,LAFAIETE COUTINHO,2918704,4044
36765,BA,LAGOA REAL,2918803,23198
36773,BA,LAJE,2918902,4550
36811,BA,LAJEDINHO,2919058,7486
36820,BA,LAJEDO DO TABOCAL,2918753,13990
36790,BA,LAJEDÃO,2919009,4102
36838,BA,LAMARÃO,2919108,9062
39730,BA,LAPÃO,2919157,25713
36854,BA,LAURO DE FREITAS,2919207,220437
36870,BA,LENÇÓIS,2919306,11022
36897,BA,LICÍNIO DE ALMEIDA,2919405,11848
36919,BA,LIVRAMENTO DE NOSSA SENHORA,2919504,43898
30007,BA,LUÍS EDUARDO MAGALHÃES,2919553,108271
36935,BA,MACAJUBA,2919603,10463
36951,BA,MACARANI,2919702,21556
36978,BA,MACAÚBAS,2919801,41631
36994,BA,MACURURÉ,2919900,7600
39748,BA,MADRE DE DEUS,2919926,18767
39756,BA,MAETINGA,2919959,6968
37010,BA,MAIQUINIQUE,2920007,9452
37036,BA,MAIRI,2920106,16122
37052,BA,MALHADA,2920205,15426
37079,BA,MALHADA DE PEDRAS,2920304,8673
37095,BA,MANOEL VITORINO,2920403,13327
39772,BA,MANSIDÃO,2920452,13902
37117,BA,MARACÁS,2920502,27747
37133,BA,MARAGOGIPE,2920601,38394
37150,BA,MARAÚ,2920700,24713
37176,BA,MARCIONÍLIO SOUZA,2920809,9256
37192,BA,MASCOTE,2920908,11991
37214,BA,MATA DE SÃO JOÃO,2921005,48698
37222,BA,MATINA,2921054,10338
37230,BA,MEDEIROS NETO,2921104,23096
37257,BA,MIGUEL CALMON,2921203,27817
37273,BA,MILAGRES,2921302,11076
37290,BA,MIRANGABA,2921401,15050
37303,BA,MIRANTE,2921450,10072
37311,BA,MONTE SANTO,2921500,47758
37338,BA,MORPARÁ,2921609,8303
37354,BA,MORRO DO CHAPÉU,2921708,33389
