Cargo/Área,Nome,Assunção,Saída,Situação
Diretor de Política Monetária - Dipom,Luis Eduardo Alves de Assis,16/03/1990,03/06/1991,Exonerado
Diretor de Administração - Dirad,Gustavo Jorge Laboissière Loyola,16/03/1990,24/04/1990,Dispensado do encargo
Diretor de Fiscalização - Difis,Eliseu Martins,24/04/1990,07/06/1991,Exonerado
Diretor de Administração - Dirad,Joubert Furtado,24/04/1990,24/06/1991,Exonerado
Diretor de Assuntos Internacionais - Direx,Antonio Cláudio Leonardo Pereira Sochaczewski,20/07/1990,18/03/1991,Exonerado
Diretor de Assuntos Internacionais - Direx,Ibrahim Eris,18/03/1991,17/05/1991,Exonerado
Diretor de Assuntos Internacionais - Direx,Joubert Furtado,13/05/1991,07/06/1991,Dispensado do encargo
Presidente do Banco Central do Brasil,Francisco Roberto André Gros,17/05/1991,16/11/1992,Exonerado
Diretor de Política Monetária - Dipom,Pedro Luiz Bodin de Moraes,03/06/1991,01/12/1992,Exonerado
Diretor de Fiscalização - Difis,Luiz Nelson Guedes de Carvalho,07/06/1991,06/04/1993,Exonerado
Diretor de Assuntos Internacionais - Direx,Armínio Fraga Neto,07/06/1991,01/12/1992,Exonerado
Diretor de Administração - Dirad,Cincinato Rodrigues de Campos,24/06/1991,01/12/1992,Exonerado
Presidente do Banco Central do Brasil,Gustavo Jorge Laboissière Loyola,13/11/1992,29/03/1993,Exonerado
Diretor de Assuntos Internacionais - Direx,Emílio Garófalo Filho,01/12/1992,06/04/1993,Exonerado
Diretor de Política Monetária - Dipom,João Heraldo dos Santos Lima,01/12/1992,06/04/1993,Exonerado
Diretor de Administração - Dirad,Emílio Garófalo Filho,02/12/1992,06/04/1993,Exonerado
Presidente do Banco Central do Brasil,Paulo César Ximenes Alves Ferreira,26/03/1993,09/09/1993,Exonerado
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Paulo César Ximenes Alves Ferreira,29/03/1993,06/04/1993,Dispensado do encargo
Diretor de Fiscalização - Difis,Sérgio de Iudícibus,06/04/1993,09/09/1993,Exonerado
Diretor de Administração - Dirad,Carlos Eduardo Tavares de Andrade,06/04/1993,04/03/1999,Exonerado
Diretor de Assuntos Internacionais - Direx,José Roberto Novaes de Almeida,06/04/1993,09/09/1993,Exonerado
Diretor de Normas e Organização do Sistema Financeiro - Dinor,Cláudio Ness Mauch,06/04/1993,20/03/1996,Dispensado do encargo
Diretor de Política Monetária - Dipom,Francisco Amadeu Pires Felix,06/04/1993,09/09/1993,Exonerado
Diretor de Fiscalização - Difis,Cláudio Ness Mauch,09/09/1993,07/12/1993,Dispensado do encargo
Diretor de Política Monetária - Dipom,Francisco Eduardo de Almeida Pinto,09/09/1993,22/02/1994,Exonerado
Presidente do Banco Central do Brasil,Pedro Sampaio Malan,09/09/1993,01/01/1995,Exonerado
Diretor de Assuntos Internacionais - Direx,Gustavo Henrique de Barroso Franco,09/09/1993,03/09/1997,Dispensado do encargo
Diretor de Fiscalização - Difis,Edson Bastos Sabino,07/12/1993,30/06/1995,Exonerado
Diretor de Política Monetária - Dipom,Pedro Sampaio Malan,22/02/1994,07/03/1994,Dispensado do encargo
Diretor de Política Monetária - Dipom,Alkimar Ribeiro Moura,07/03/1994,22/03/1996,Dispensado do encargo
Presidente do Banco Central do Brasil,Gustavo Henrique de Barroso Franco,31/12/1994,11/01/1995,Dispensado do encargo
Presidente do Banco Central do Brasil,Pérsio Arida,11/01/1995,13/06/1995,Exonerado
Diretor de Política Econômica - Dipec,Francisco Lafaiete de Pádua Lopes,12/01/1995,04/03/1999,Exonerado
Presidente do Banco Central do Brasil,Gustavo Jorge Laboissière Loyola,13/06/1995,20/08/1997,Exonerado
Diretor de Fiscalização - Difis,Cláudio Ness Mauch,30/06/1995,04/03/1999,Exonerado
Diretor de Política Monetária - Dipom,Francisco Lafaiete de Pádua Lopes,22/03/1996,04/03/1999,Exonerado
