Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Dez/2017;Dez/2018;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Dez/2023;Dez/2024;Dez/2025
4.3.15.1.3 Política de preços agrícolas;4293.98827957972;2625.5529180715957;1375.650880847158;2140.4652438791613;1565.8281642534525;-1725.1635365937505;1329.1370496903874;756.8012022257178;3370.493150622816;3436.7746074667743;3135.067775458819;2132.9523720263087;8627.27508215015;6354.520228707383;1052.7117588272774;1235.3149466928471;574.3685963617567;1769.8209938276045;1711.7735582733926;396.26461424004896;543.7562780521008;1444.140082130561;437.1397165657575;230.72075384596897;193.32700169397927;127.94998300398407;129.4955855154563;200.4878150213725;99.14839134980622
4.3.15.1.3.1 Equalização Empréstimo do Governo Federal;1271.0113197541657;149.68714054325662;49.40127766000635;14.780339385573633;11.609840110882297;52.21854289873162;57.30914622979371;18.026889638942773;20.57726203999055;9.740664557928412;87.54481077593746;21.084096204920108;30.13121852213904;223.097296755874;177.59769574675778;384.94350069476536;177.55595057195308;14.867211284793312;521.8895532886306;135.67439801871583;117.65521907222522;82.48064369929281;35.56739149216903;34.903853104725115;11.327341121219614;22.840135240929317;4.638194920560815;1.623758655862124;26.1702148759285
4.3.15.1.3.2 Equalização Aquisições do Governo Federal;3022.9769598255534;1515.9712676383156;939.6621571461048;1745.7554230585913;1029.8754962746107;-2257.1301949115586;1180.4062194705707;690.7405009036428;2625.5406510511016;746.7616420608897;-344.0667852786345;-440.86401780695473;6205.994941948096;2785.5116190866293;-1045.6370271121482;-113.77683900102046;77.64490131373418;887.1017542303192;279.73243228517487;178.3811893048051;170.28897433711856;717.3979321416185;307.6835665622018;194.75496070787506;181.9996605727597;105.10984776305472;124.85739059489548;198.86405636551038;72.97817647387771
4.3.15.1.3.3 Garantia à Sustentação de Preços;0;959.8945098900235;386.587446041047;379.9294814349961;524.3428278679596;479.7481154190766;91.42168399002287;48.03381168313224;724.3752375317231;2680.272300847956;3391.5897499615166;2552.732293628343;2391.148921679914;3345.91131286488;1920.751090192668;964.1482849991022;319.1677444760696;867.852028312492;910.1515726995875;82.2090269165279;255.81208464275696;644.2615062896498;93.88875851138668;1.0619400333688223;0;0;0;0;0
4.3.15.1.4 Pronaf;341.7701944305254;902.9675045664568;1443.3430226357957;1518.8282919648348;2156.7894033560615;2354.25973716535;3421.0755860991458;3684.2544247265214;2495.5205191493274;3238.814037401734;2569.667301879364;2427.1888551872935;2336.668869787501;156.74932230012615;5393.4403319071425;3760.6527994658118;3368.809184998841;987.5191736080523;17126.36545214054;8468.425644005481;6466.002322763137;4397.490418548133;3935.704769959726;3249.7648371983505;3586.9567168709787;6636.602774612758;6618.468575826698;5696.70016886446;9760.445576236378
4.3.15.1.4.1 Equalização Empréstimo do Governo Federal;0;0;0;0;0;0;1989.8895829154287;1980.745524376183;2339.870825667575;3212.6054708745314;1614.1283683537001;1707.2343442889573;1983.8311307296653;797.9876215755016;5131.8168405292245;5252.606932783157;3566.3154036054975;914.7526948930416;17340.337745157078;8898.584662242525;6500.729685482799;4449.404157150102;3976.0213595279747;3291.4122191522506;3611.6568252419925;6685.748357486205;6681.852830327225;5567.935648488362;9317.246895486434
4.3.15.1.4.2 Concessão de Financiamento 5/;0;0;0;0;0;0;1431.186003183717;1703.5089003503385;155.64969348175276;26.208566527202436;955.538933525664;719.9545108983355;352.83773905783573;-641.2382992753754;261.62349137791864;-1491.9541333173456;-197.5062186066567;72.76647871501052;-213.97229301653658;-430.1590182370427;-34.72736271966091;-51.91373860197017;-40.3165895682484;-41.64738195390049;-24.70010837101426;-49.14558287344806;-63.38425450052698;128.76452037609783;443.19868074994406
4.3.15.1.4.3 Aquisição;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4.3.15.1.5 Proex;1629.6243359310752;3233.4691366656098;4094.025179785526;3971.433262772623;5622.698802402469;1851.510441332828;2914.635204204625;1774.6507441843407;2048.3225653333457;1626.083580178556;662.1254160749737;306.4450192364221;119.9727249182183;-267.28522644604743;753.2583998097098;796.4549410559869;469.54979907342863;1209.687488580178;619.7228012096443;1150.1270664188762;602.0950210585156;969.5962196287325;448.4216496252845;534.8390824952414;1056.5432974199903;521.7983582010008;477.46486759850075;570.5992875700911;503.6007796168484
4.3.15.1.5.1 Equalização Empréstimo do Governo Federal;0;0;0;0;0;0;3187.3874210128397;1579.9247778657395;1879.343863865764;1325.463342515687;1091.9419378761302;832.3488413745721;1021.5039519387788;568.2302984796072;932.0103867571189;1282.65412786257;1206.2012383179524;1661.3577413465928;1377.5581115094728;1086.8075414890004;979.527485304242;1329.175952418884;390.3981801554743;437.14603526600604;759.3667738304086;466.1681151559381;569.6321035413612;693.3068797418043;700.7325619131789
