Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Carolina de Assis Barros;2018-04-26T03:00:00Z;2024-12-31T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Mansueto Facundo de Almeida Júnior;2018-04-20T03:00:00Z;2020-07-15T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Ana Paula Vitali Janes Vescovi;2018-04-17T03:00:00Z;2019-01-02T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Gleisson Cardoso Rubin;2018-04-12T03:00:00Z;2019-01-04T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Esteves Pedro Colnago Júnior;2018-04-10T03:00:00Z;2019-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Eduardo Refinetti Guardia;2018-04-10T03:00:00Z;2019-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Paulo Sérgio Neves de Souza;2017-09-19T03:00:00Z;2023-07-12T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Mauricio Costa de Moura;2017-09-19T03:00:00Z;2018-04-27T03:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Mauricio Costa de Moura;2017-09-19T03:00:00Z;2024-01-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Paulo Sérgio Neves de Souza;2017-09-19T03:00:00Z;2023-07-12T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Marcelo Santos Barbosa;2017-08-25T03:00:00Z;2022-07-14T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Esteves Pedro Colnago Júnior;2017-04-07T03:00:00Z;2018-04-10T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Dyogo Henrique de Oliveira;2017-03-31T03:00:00Z;2018-04-06T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Pablo Waldemar Rentería;2017-01-05T02:00:00Z;2017-08-23T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Organização do Sistema Financeiro e de Resolução - Diorf;Sidnei Corrêa Marques;2016-12-22T02:00:00Z;2019-02-28T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Fábio Kanczuk;2016-11-21T02:00:00Z;2018-11-23T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Reinaldo Le Grazie;2016-07-07T03:00:00Z;2018-12-21T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Carlos Viana de Carvalho;2016-07-07T03:00:00Z;2018-12-21T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Relacionamento Institucional e Cidadania - Direc;Isaac Sidney Menezes Ferreira;2016-07-07T03:00:00Z;2018-04-26T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais e de Gestão de Riscos Corporativos - Direx;Tiago Couto Berriel;2016-07-07T03:00:00Z;2019-06-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Carlos Viana de Carvalho;2016-07-06T03:00:00Z;2019-10-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Reinaldo Le Grazie;2016-07-06T03:00:00Z;2018-12-21T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Tiago Couto Berriel;2016-07-06T03:00:00Z;2016-06-21T03:00:00Z;Exonerado
