Colegiado;AreaAtuacao;Membro;Posse;Exoneracao;StatusMembroColegiado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Gustavo Jorge Laboissière Loyola;1995-06-13T03:00:00Z;1997-08-20T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Gustavo Jorge Laboissière Loyola;1995-06-13T03:00:00Z;1997-08-20T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Gustavo Jorge Laboissière Loyola;1995-06-13T03:00:00Z;1997-08-20T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Francisco Lafaiete de Pádua Lopes;1995-02-21T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Carlos Eduardo Tavares de Andrade;1995-02-21T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Cláudio Ness Mauch;1995-02-21T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Alkimar Ribeiro Moura;1995-02-21T03:00:00Z;1997-09-03T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1995-02-21T03:00:00Z;1997-08-20T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Edson Bastos Sabino;1995-02-21T03:00:00Z;1995-06-30T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva do Ministério da Fazenda;Pedro Pullen Parente;1995-02-21T03:00:00Z;1999-03-31T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;José Serra;1995-02-03T02:00:00Z;1996-06-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Andrea Sandro Calabi - [interino];1995-02-01T02:00:00Z;1995-02-03T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Econômica - Dipec;Francisco Lafaiete de Pádua Lopes;1995-01-12T02:00:00Z;1999-03-04T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Pérsio Arida;1995-01-11T02:00:00Z;1995-06-13T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Pérsio Arida;1995-01-11T02:00:00Z;1995-06-13T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Pérsio Arida;1995-01-11T02:00:00Z;1995-06-13T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Andrea Sandro Calabi;1995-01-11T02:00:00Z;1996-09-02T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;José Roberto Mendonça de Barros;1995-01-03T02:00:00Z;1998-04-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Pedro Sampaio Malan;1995-01-01T02:00:00Z;2003-01-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;José Serra;1995-01-01T02:00:00Z;1995-02-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Gustavo Henrique de Barros Franco - [interino];1994-12-31T02:00:00Z;1995-01-11T02:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1994-12-31T02:00:00Z;1995-01-11T02:00:00Z;Dispensado do encargo
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1994-12-31T02:00:00Z;1995-01-11T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Ciro Ferreira Gomes;1994-09-07T03:00:00Z;1994-12-31T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria-Executiva de Planejamento, Orçamento e Coordenação/Ministério do Planejamento/Ministério do Planejamento e Orçamento;Raul Belens Jungmann Pinto;1994-08-26T03:00:00Z;1995-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Cláudio Ness Mauch;1994-06-30T03:00:00Z;1995-02-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria de Política Econômica do Ministério da Fazenda (SPE) / Ministério da Economia;Winston Fritsch;1994-06-30T03:00:00Z;1995-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente da Comissão de Valores Mobiliários (CVM);Thomás Tosta de Sá;1994-06-30T03:00:00Z;1995-08-08T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Gustavo Henrique de Barroso Franco;1994-06-30T03:00:00Z;1995-02-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Diretor do Banco Central do Brasil;Alkimar Ribeiro Moura;1994-06-30T03:00:00Z;1995-02-21T03:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Presidente do Banco Central do Brasil;Pedro Sampaio Malan;1994-06-30T03:00:00Z;2005-01-01T02:00:00Z;Exonerado
Comissão Técnica da Moeda e do Crédito - Comoc;Secretaria do Tesouro Nacional;Murilo Portugal Filho;1994-06-30T03:00:00Z;1996-12-02T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Marcelo Pimentel;1994-05-05T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Rubens Ricupero;1994-03-30T03:00:00Z;1994-09-07T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;José Fernando de Almeida - [interino];1994-03-30T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Mozart de Abreu e Lima - [interino];1994-03-30T03:00:00Z;1994-05-05T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Alkimar Ribeiro Moura;1994-03-07T03:00:00Z;1996-03-22T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Benedito Clayton Veras Alcântara;1994-03-04T03:00:00Z;1994-12-31T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Pedro Sampaio Malan;1994-02-22T03:00:00Z;1994-03-07T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Élcio Álvares;1994-01-26T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Synval Sebastião Duarte Guazzelli;1994-01-26T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Ailton Barcelos Fernandes - [interino];1993-12-23T02:00:00Z;1994-01-26T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Comissão de Valores Mobiliários (CVM);Thomás Tosta de Sá;1993-12-21T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Alberto Duque Portugal - [interino];1993-12-21T02:00:00Z;1994-01-26T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Previdência Social;Sérgio Cutolo dos Santos;1993-12-14T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Edson Bastos Sabino;1993-12-07T02:00:00Z;1995-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Pedro de Camargo Neto;1993-10-19T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Dejandir Dalpasquale;1993-10-13T03:00:00Z;1993-12-21T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Pedro Sampaio Malan;1993-09-09T03:00:00Z;1995-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Cláudio Ness Mauch;1993-09-09T03:00:00Z;1993-12-07T02:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Francisco Eduardo de Almeida Pinto;1993-09-09T03:00:00Z;1994-02-22T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Pedro Sampaio Malan;1993-09-09T03:00:00Z;1995-01-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Gustavo Henrique de Barroso Franco;1993-09-09T03:00:00Z;1997-09-03T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Pérsio Arida;1993-09-03T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;José Eduardo de Andrade Vieira - [interino];1993-09-01T03:00:00Z;1993-10-13T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;José Antonio Barros Munhoz;1993-06-17T03:00:00Z;1993-09-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Wilson Brandi Romão - [interino];1993-06-16T03:00:00Z;1993-06-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Nuri Andraus Gassani;1993-06-07T03:00:00Z;1993-06-16T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Wilson Brandi Romão - [interino];1993-05-25T03:00:00Z;1993-06-07T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Aléxis Stepanenko;1993-05-20T03:00:00Z;1994-03-04T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Fernando Henrique Cardoso;1993-05-20T03:00:00Z;1994-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Aléxis Stepanenko - [interino];1993-05-10T03:00:00Z;1993-05-20T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Previdência Social;Antonio Brito Filho;1993-04-07T03:00:00Z;1993-12-14T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco da Amazônia S.A. (BASA);Anivaldo Juvenil Vale;1993-04-07T03:00:00Z;1994-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Walter Barelli;1993-04-07T03:00:00Z;1994-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;José Eduardo de Andrade Vieira;1993-04-07T03:00:00Z;1993-12-23T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Sérgio de Iudícibus;1993-04-06T03:00:00Z;1993-09-09T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Carlos Eduardo Tavares de Andrade;1993-04-06T03:00:00Z;1999-03-04T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;José Roberto Novaes de Almeida;1993-04-06T03:00:00Z;1993-09-09T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Cláudio Ness Mauch;1993-04-06T03:00:00Z;1996-03-20T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Francisco Amadeu Pires Felix;1993-04-06T03:00:00Z;1993-09-09T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Paulo César Ximenes Alves Ferreira;1993-03-29T03:00:00Z;1993-04-06T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Presidente do Banco Central do Brasil;Paulo César Ximenes Alves Ferreira;1993-03-26T03:00:00Z;1993-09-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Paulo César Ximenes Alves Ferreira;1993-03-26T03:00:00Z;1993-09-09T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Luiz Carlos Delben Leite;1993-03-11T03:00:00Z;1993-08-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Eliseu Resende;1993-03-01T03:00:00Z;1993-05-20T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Yeda Rorato Crusius;1993-01-27T02:00:00Z;1993-05-10T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Paulo Roberto Haddad - [interino];1993-01-19T02:00:00Z;1993-01-27T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Paulo Roberto Haddad;1993-01-19T02:00:00Z;1993-03-01T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Paulo Roberto Haddad - [interino];1992-12-17T02:00:00Z;1993-01-19T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Emílio Garófalo Filho;1992-12-02T02:00:00Z;1993-04-06T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Emílio Garófalo Filho;1992-12-01T02:00:00Z;1993-04-06T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;João Heraldo dos Santos Lima;1992-12-01T02:00:00Z;1993-04-06T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Gustavo Jorge Laboissière Loyola;1992-11-13T02:00:00Z;1993-03-29T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Gustavo Jorge Laboissière Loyola;1992-11-13T02:00:00Z;1993-03-29T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Alcir Augustinho Calliari;1992-10-26T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Nordeste do Brasil S.A. (BNB);João Alves de Melo;1992-10-21T02:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Comissão de Valores Mobiliários (CVM);Luiz Carlos Piva;1992-10-20T02:00:00Z;1993-12-21T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Planejamento;Paulo Roberto Haddad;1992-10-20T02:00:00Z;1993-01-19T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Danilo de Castro;1992-10-20T02:00:00Z;1994-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Lázaro Ferreira Barboza;1992-10-14T03:00:00Z;1993-05-25T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Antônio Barros de Castro;1992-10-07T03:00:00Z;1993-03-11T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Gustavo Krause Gonçalves Sobrinho;1992-10-03T03:00:00Z;1992-12-17T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Luiz Antonio de Camargo Fayet - [interino];1992-09-30T03:00:00Z;1992-10-26T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Milton Luiz de Melo Santos - [interino];1992-09-30T03:00:00Z;1992-10-20T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Representantes das Classes Trabalhadoras;Lourenço Ferreira do Prado - [recondução];1992-07-24T03:00:00Z;1993-09-03T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Comissão de Valores Mobiliários (CVM);Roberto Faldini;1992-02-27T03:00:00Z;1992-10-03T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Reinhold Stephanes;1992-01-20T02:00:00Z;1992-04-10T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Roberto Rodrigues;1991-09-23T03:00:00Z;1993-09-22T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Alcides Lopes Tápias;1991-09-23T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Paulo Guilherme Aguiar Cunha;1991-09-23T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Carlos Antônio Rocca;1991-09-23T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Cincinato Rodrigues de Campos;1991-06-24T03:00:00Z;1992-12-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Luiz Nelson Guedes de Carvalho;1991-06-07T03:00:00Z;1993-04-06T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Armínio Fraga Neto;1991-06-07T03:00:00Z;1992-12-01T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Pedro Luiz Bodin de Moraes;1991-06-03T03:00:00Z;1992-12-01T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Francisco Roberto André Gros;1991-05-17T03:00:00Z;1992-11-16T02:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Francisco Roberto André Gros;1991-05-17T03:00:00Z;1992-11-16T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Álvaro Figueiredo Maia de Mendonça Júnior;1991-05-15T03:00:00Z;1992-09-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Joubert Furtado;1991-05-13T03:00:00Z;1991-06-07T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro da Infra-Estrutura;João Eduardo Cerdeira de Santana;1991-05-10T03:00:00Z;1992-04-13T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Marcílio Marques Moreira;1991-05-10T03:00:00Z;1992-10-02T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Infra-Estrutura;Eduardo de Freitas Teixeira;1991-03-28T03:00:00Z;1991-05-10T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Ibrahim Eris;1991-03-18T03:00:00Z;1991-05-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Lafaiete Coutinho Torres;1991-03-15T03:00:00Z;1992-09-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Assuntos Internacionais - Direx;Antonio Cláudio Leonardo Pereira Sochaczewski;1990-07-20T03:00:00Z;1991-03-18T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Representantes das Classes Trabalhadoras;Lourenço Ferreira do Prado;1990-07-10T03:00:00Z;1992-07-24T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Nordeste do Brasil S.A. (BNB);Jorge Lins Freire;1990-05-30T03:00:00Z;1992-10-03T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Fiscalização - Difis;Eliseu Martins;1990-04-24T03:00:00Z;1991-06-07T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Joubert Furtado;1990-04-24T03:00:00Z;1991-06-24T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Infra-Estrutura;Ozires Silva;1990-04-13T03:00:00Z;1991-03-28T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Antônio Cabrera Mano Filho;1990-04-03T03:00:00Z;1992-10-02T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Eduardo Marco Modiano;1990-03-30T03:00:00Z;1992-10-03T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;José Bernardo Cabral - [interino];1990-03-30T03:00:00Z;1990-04-03T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Comissão de Valores Mobiliários (CVM);Ary Oswaldo Mattos Filho;1990-03-28T03:00:00Z;1992-02-27T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Lafaiete Coutinho Torres;1990-03-21T03:00:00Z;1991-05-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Alberto Policaro;1990-03-20T03:00:00Z;1991-05-13T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Política Monetária - Dipom;Luis Eduardo Alves de Assis;1990-03-16T03:00:00Z;1991-06-03T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Gustavo Jorge Laboissière Loyola;1990-03-16T03:00:00Z;1990-04-24T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Administração - Dirad;Ibrahim Eris;1990-03-15T03:00:00Z;1990-03-15T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Presidente do Banco Central do Brasil;Ibrahim Eris;1990-03-15T03:00:00Z;1991-05-17T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Normas e Organização do Sistema Financeiro - Dinor;Gustavo Jorge Laboissière Loyola;1990-03-15T03:00:00Z;1993-03-25T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor da Área Externa - Direx;Ibrahim Eris;1990-03-15T03:00:00Z;1990-03-15T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Fiscalização - Difis;Ibrahim Eris;1990-03-15T03:00:00Z;1990-04-24T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Câmbio e Assuntos Internacionais - Direx;Antonio Cláudio Leonardo Pereira Sochaczewski;1990-03-15T03:00:00Z;1990-07-20T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor da Área Bancária - Diban;Ibrahim Eris;1990-03-15T03:00:00Z;1990-03-15T03:00:00Z;Dispensado do encargo
Diretoria Colegiada;Diretor de Mercado de Capitais - Dimec;Ibrahim Eris;1990-03-15T03:00:00Z;1990-03-15T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro da Fazenda;Zélia Maria Cardoso de Mello;1990-03-15T03:00:00Z;1991-05-10T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Ibrahim Eris;1990-03-15T03:00:00Z;1991-05-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Agricultura;Joaquim Domingos Roriz;1990-03-15T03:00:00Z;1990-03-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Antônio Rogério Magri;1990-03-15T03:00:00Z;1992-01-20T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;José Marcolino Lincoln;1990-02-09T02:00:00Z;1990-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Mercado de Capitais - Dimec;Francisco Amadeu Pires Felix;1990-01-10T02:00:00Z;1990-03-14T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor da Dívida Pública e Mercado Aberto - Didip;Francisco Amadeu Pires Felix;1989-10-31T02:00:00Z;1990-03-14T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Wadico Waldir Bucchi;1989-10-25T02:00:00Z;1990-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Wadico Waldir Bucchi;1989-10-25T02:00:00Z;1990-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES);Ney Fontes de Melo Távora;1989-10-02T03:00:00Z;1990-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor da Dívida Pública e Mercado Aberto - Didip;Wadico Waldir Bucchi;1989-06-30T03:00:00Z;1989-10-31T02:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Wadico Waldir Bucchi - [interino];1989-06-23T03:00:00Z;1989-10-31T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Membro Nomeado;Arthur Antônio Sendas;1989-04-14T03:00:00Z;1994-06-30T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Representantes das Classes Trabalhadoras;José Calixto Ramos - [recondução];1989-04-12T03:00:00Z;1989-12-21T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Comissão de Valores Mobiliários (CVM);Martin Wimmer;1989-03-20T03:00:00Z;1990-03-28T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente da Caixa Econômica Federal;Paulo Rubens Mandarino;1989-01-13T02:00:00Z;1990-02-09T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Dorothea Fonseca Furquim Werneck;1989-01-13T02:00:00Z;1990-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor da Dívida Pública e Mercado Aberto - Didip;Carlos Thadeu de Freitas Gomes;1988-12-19T02:00:00Z;1989-06-30T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor para Assuntos da Dívida Externa - Divex;Arnim Lore;1988-11-17T02:00:00Z;1990-03-14T03:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Ronaldo Costa Couto -  [interino];1988-10-17T02:00:00Z;1989-01-13T02:00:00Z;Exonerado
Diretoria Colegiada;Diretor da Dívida Pública e Mercado Aberto - Didip;Keyler Carvalho Rocha;1988-10-14T03:00:00Z;1988-12-19T02:00:00Z;Dispensado do encargo
Conselho Monetário Nacional - CMN;Ministro do Trabalho;Eros Antonio de Almeida - [interino];1988-09-28T03:00:00Z;1988-10-17T02:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Roberto Cardoso Alves;1988-08-17T03:00:00Z;1990-03-14T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Ministro da Indústria e Comércio;Luiz André Rico Valente - [interino];1988-08-05T03:00:00Z;1988-08-17T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco Central do Brasil;Elmo de Araújo Camões;1988-03-09T03:00:00Z;1989-06-22T03:00:00Z;Exonerado
Diretoria Colegiada;Presidente do Banco Central do Brasil;Elmo de Araújo Camões;1988-03-09T03:00:00Z;1989-06-22T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor da Área Externa - Direx;Arnim Lore;1988-03-09T03:00:00Z;1990-03-15T03:00:00Z;Exonerado
Diretoria Colegiada;Diretor de Administração - Dirad;Antenor Araken Caldas Farias;1988-03-09T03:00:00Z;1990-03-15T03:00:00Z;Exonerado
Conselho Monetário Nacional - CMN;Presidente do Banco do Brasil;Mário Jorge Gusmão Bérard;1988-03-08T03:00:00Z;1990-03-16T03:00:00Z;Exonerado
