year,month_name,period,vol_import_bbl,dispendio_importacao_usd_fob,custo_prod_c1_usd,custo_prod_c2_usd,lucro_liquido_incremental_c1_usd,lucro_liquido_incremental_c2_usd
2011,Dezembro,2011-12,15072570.979315978,1526501805,301451419.58631957,376814274.4828994,1225050385.41368,1149687530.5171008
2012,Janeiro,2012-01,11196674.329847287,1085825117,223933486.59694576,279916858.2461822,861891630.4030544,805908258.7538176
2012,Fevereiro,2012-02,14819829.739877008,1514693759,296396594.7975402,370495743.4969252,1218297164.2024593,1144198015.5030742
2012,Março,2012-03,15510675.881201781,1785540775,310213517.6240356,387766897.03004456,1475327257.3759644,1397773877.9699557
2012,Abril,2012-04,18480183.030581925,2222523025,369603660.6116385,462004575.7645481,1852919364.3883612,1760518449.235452
2012,Maio,2012-05,17018010.845489312,1945677219,340360216.9097862,425450271.1372328,1605317002.0902135,1520226947.8627672
2012,Junho,2012-06,16100913.570180548,1750777232,322018271.40361094,402522839.2545137,1428758960.5963888,1348254392.745486
2012,Julho,2012-07,10031042.881963573,873767161,200620857.63927147,250776072.04908934,673146303.3607285,622991088.9509104
2012,Agosto,2012-08,9452970.555049827,854344667,189059411.10099655,236324263.87624568,665285255.8990039,618020403.1237545
2012,Setembro,2012-09,10671675.249781223,1016770627,213433504.99562445,266791881.2445306,803337122.0043753,749978745.755469
2012,Outubro,2012-10,14514184.270230733,1448550938,290283685.4046147,362854606.7557683,1158267252.5953856,1085696331.2442317
2012,Novembro,2012-11,21700222.39715225,2486141755,434004447.94304496,542505559.9288062,2052137307.056955,1943636195.0711935
2012,Dezembro,2012-12,11445688.151866468,1166541548,228913763.03732935,286142203.7966617,937627784.9626703,880399344.2033385
2013,Janeiro,2013-01,20986094.44648125,2316230917,419721888.92962503,524652361.16203123,1896509028.070375,1791578555.8379683
2013,Fevereiro,2013-02,12894365.716019636,1372803134,257887314.32039273,322359142.9004909,1114915819.6796076,1050443991.0995095
