year,month,month_name,period,vol_import_bbl,spend_import_usd_fob,price_import_usd_bbl,vol_national_bbl,vol_total_bbl,wac_c1_usd_bbl,wac_c2_usd_bbl,diff_wac_minus_20,diff_wac_minus_25,foregone_revenue_c1_usd,foregone_revenue_c2_usd
2011,10,Outubro,2011-10,20519674.870079998,2171286712,105.81486918030953,60526850.09608427,81046524.96616426,41.726942831090504,45.46102335590963,21.726942831090504,20.46102335590963,1760893214.5984,1658294840.248
2011,11,Novembro,2011-11,17965219.49402,1874875710,104.36141404362364,58285250.41034791,76250469.90436791,39.87622269109167,43.698182771039264,19.87622269109167,18.698182771039264,1515571320.1195998,1425745222.6495
2011,12,Dezembro,2011-12,15072570.979315978,1526501805,101.2768032139183,57705675.660334185,72778246.63965017,36.83264494512105,40.79713147267197,16.832644945121046,15.797131472671971,1225050385.41368,1149687530.5171008
2012,1,Janeiro,2012-01,11196674.329847287,1085825117,96.97746714892705,57714422.08142586,68911096.41127315,32.507298175306026,36.694898219932824,12.507298175306026,11.694898219932824,861891630.4030544,805908258.7538176
2012,2,Fevereiro,2012-02,14819829.739877008,1514693759,102.20723082427064,53326498.67619592,68146328.41607293,37.87766402855994,41.79031052879446,17.87766402855994,16.790310528794457,1218297164.2024593,1144198015.5030742
2012,3,Março,2012-03,15510675.881201781,1785540775,115.11689037123085,59484490.524044566,74995166.40524635,39.67229793722755,43.63818623212193,19.672297937227547,18.63818623212193,1475327257.3759644,1397773877.9699557
2012,4,Abril,2012-04,18480183.030581925,2222523025,120.26520631976742,57820321.945596226,76300504.97617815,44.284496740445725,48.07348358684002,24.284496740445725,23.07348358684002,1852919364.3883612,1760518449.235452
2012,5,Maio,2012-05,17018010.845489312,1945677219,114.33047238395133,58095438.17838795,75113449.02387726,41.37189841435601,45.23907792304296,21.37189841435601,20.239077923042963,1605317002.0902135,1520226947.8627672
2012,6,Junho,2012-06,16100913.570180548,1750777232,108.73775729362961,56618614.74198443,72719528.31216498,39.647527889112794,43.54047219555385,19.647527889112794,18.540472195553853,1428758960.5963888,1348254392.745486
2012,7,Julho,2012-07,10031042.881963573,873767161,87.10631300072365,59597399.104628496,69628441.98659207,29.667691594913933,33.947365059107256,9.667691594913933,8.947365059107256,673146303.3607285,622991088.9509104
