ano,mes,mes_nome,periodo,volume_produzido_brasil_barris,volume_importado_barris,dispendio_importacao_usd,custo_medio_importado_usd_bbl,custo_producao_brasil_usd_bbl,volume_total_proxy_consumo_barris,custo_medio_ponderado_usd_bbl,lucro_bruto_adicional_usd
2006,5,Maio,2006-05,56209893.1555955,5552698.824482852,270593187.0,48.73183213303516,25.0,61762591.98007835,27.13358462077552,131775716.38792871
2006,6,Junho,2006-06,54130023.51451498,6611610.123337736,421643971.0,63.77326598730865,25.0,60741633.63785272,29.220395510679893,256353717.9165566
2006,7,Julho,2006-07,55335921.74205306,8672414.88250993,492012309.0,56.733022539346514,25.0,64008336.62456299,29.299470216691176,275201936.93725175
2006,8,Agosto,2006-08,54696236.80676858,6372129.048434067,374956310.0,58.84317582867291,25.0,61068365.855202645,28.531338701619703,215653083.78914833
2006,9,Setembro,2006-09,52518592.89371407,7818036.460291799,526697388.0,67.36952311173305,25.0,60336629.35400587,30.489973172833736,331246476.492705
2006,10,Outubro,2006-10,52658277.75933779,9491064.239195934,584600791.0,61.59486188974803,25.0,62149341.998533726,30.58854162974559,347324185.02010167
2006,11,Novembro,2006-11,51603528.05778372,7882840.498479776,488003295.0,61.90703656811432,25.0,59486368.5562635,29.890738661628596,290932282.53800565
2006,12,Dezembro,2006-12,53764583.829643235,7095295.687047839,421932754.0,59.46654975496234,25.0,60859879.516691074,29.01825248038381,244550361.82380402
2007,1,Janeiro,2007-01,53021835.13655232,5899149.221258344,343667540.0,58.257136259844,25.0,58920984.35781066,28.329693344516134,196188809.46854138
2007,2,Fevereiro,2007-02,50248801.01344363,7449087.699534596,387358512.0,52.000798973571136,25.0,57697888.71297822,28.48593898317797,201131319.5116351
2007,3,Março,2007-03,59416392.26120021,9064807.128364135,469102007.0,51.74980563371961,25.0,68481199.38956435,28.540852539855596,242481828.79089662
2007,4,Abril,2007-04,55281135.03643165,6434515.1498807175,383261504.0,59.563385130440615,25.0,61715650.18631236,28.603601753875825,222398625.25298205
2007,5,Maio,2007-05,55478451.69003263,7308134.07738708,510614677.0,69.86936358761538,25.0,62786585.76741971,30.22263348225375,327911325.06532294
2007,6,Junho,2007-06,55276911.36197568,9437506.455516651,627265909.0,66.46521641670874,25.0,64714417.81749233,31.047002519835814,391328247.6120838
2007,7,Julho,2007-07,56543710.81186173,9420526.526189385,691039837.0,73.35469361281301,25.0,65964237.33805112,31.905661192000128,455526673.8452654
2007,8,Agosto,2007-08,56689371.13622217,9899116.105098603,709415277.0,71.66450716085764,25.0,66588487.241320774,31.937195805311593,461937374.37253493
2007,9,Setembro,2007-09,55474828.07974886,11846094.767422635,906342258.0,76.50979295661955,25.0,67320922.8471715,34.06389667592133,610189888.8144342
2007,10,Outubro,2007-10,56831322.26107258,5382220.149024359,387468170.0,71.99039787888215,25.0,62213542.41009694,29.065234938837765,252912666.274391
2007,11,Novembro,2007-11,53430118.96131995,10461999.087475263,858108201.0,82.02143718663643,25.0,63892118.048795216,34.33696114687448,596558223.8131183
2007,12,Dezembro,2007-12,57360443.31362314,7779210.390159967,664159498.0,85.37620975518347,25.0,65139653.7037831,32.21034287934391,469679238.2460008
2008,1,Janeiro,2008-01,56585371.177116945,6281895.3087083865,486954921.0,77.51719776751935,25.0,62867266.48582533,30.24768383808567,329907538.28229034
2008,2,Fevereiro,2008-02,57763330.72138659,8970671.320153452,802314384.0,89.43749641094593,25.0,66734002.04154004,33.661965164869706,578047600.9961636
2008,3,Março,2008-03,53695238.02072048,11650835.580487499,1146432060.0,98.39912786341377,25.0,65346073.60120798,38.08664963876275,855161170.4878125
2008,4,Abril,2008-04,54725024.510529175,8638959.264274845,739114962.0,85.5560188895093,25.0,63363983.77480402,33.256125155457006,523140980.39312893
2008,5,Maio,2008-05,58134098.620146334,11185392.350973196,1162136914.0,103.89773353805396,25.0,69319490.97111952,37.730937473175416,882502105.2256701
2008,6,Junho,2008-06,57236271.98974207,7826421.284007387,862603611.0,110.21686409376602,25.0,65062693.273749456,35.25077575706359,666943078.8998153
2008,7,Julho,2008-07,57767444.93009931,6564385.901840618,766577444.0,116.77824178268615,25.0,64331830.83193993,34.36500311996199,602467796.4539845
2008,8,Agosto,2008-08,55320912.139374524,10116012.983103443,1245231803.0,123.09511712567824,25.0,65436925.12247796,40.16470213973337,992331478.422414
2008,9,Setembro,2008-09,54815940.45255119,11996719.778104182,1381115329.0,115.12441355183967,25.0,66812660.23065537,41.182521857606176,1081197334.5473955
2008,10,Outubro,2008-10,51346351.87193176,13748340.862881739,1413115200.0,102.78441697755537,25.0,65094692.7348135,41.428477245980204,1069406678.4279565
2008,11,Novembro,2008-11,51607408.82049233,10087011.959194804,778327259.0,77.16133004982875,25.0,61694420.77968713,33.528355617423436,526151960.02012986
2008,12,Dezembro,2008-12,54190990.97265396,5607378.815335972,389824048.0,69.51983463893072,25.0,59798369.78798994,29.17468868301388,249639577.61660072
2009,1,Janeiro,2009-01,52357224.15286429,6600321.798258393,321943059.0,48.776873134420526,25.0,58957545.951122686,27.661830839662887,156935014.04354015
2009,2,Fevereiro,2009-02,50659681.41079257,4493848.127692118,232576987.0,51.754527610047056,25.0,55153529.538484685,27.17992909635644,120230783.80769704
