titulo,numero,tipo,libera_captacao,libera_captacao_inicial,data_portaria,data_publicacao,edicao,secao,pagina,orgao,url,url_title,qtd_projetos,valor_total_anexo,lei_8313,texto_art1
"PORTARIA SEFIC/MINC Nº 448, DE 17 DE JULHO DE 2026",448,complementacao_valor,True,False,2026-07-17,2026-07-20,134,,17,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-448-de-17-de-julho-de-2026-720005067,portaria-sefic/minc-n-448-de-17-de-julho-de-2026-720005067,3,153015.07,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 449, DE 17 DE JULHO DE 2026",449,prorrogacao_prazo,True,False,2026-07-17,2026-07-20,134,,17,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-449-de-17-de-julho-de-2026-720007181,portaria-sefic/minc-n-449-de-17-de-julho-de-2026-720007181,6,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 450, DE 17 DE JULHO DE 2026",450,reducao_valor,False,False,2026-07-17,2026-07-20,134,,17,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-450-de-17-de-julho-de-2026-720006146,portaria-sefic/minc-n-450-de-17-de-julho-de-2026-720006146,1,394070.8,True,Homologar o valor reduzido de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 451, DE 17 DE JULHO DE 2026",451,alteracao_projeto,False,False,2026-07-17,2026-07-20,134,,17,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-451-de-17-de-julho-de-2026-720014149,portaria-sefic/minc-n-451-de-17-de-julho-de-2026-720014149,7,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 452, DE 20 DE JULHO DE 2026",452,homologacao_captacao,True,True,2026-07-20,2026-07-21,135,,79,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-452-de-20-de-julho-de-2026-720515655,portaria-sefic/minc-n-452-de-20-de-julho-de-2026-720515655,38,25922141.82,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 453, DE 20 DE JULHO DE 2026",453,complementacao_valor,True,False,2026-07-20,2026-07-21,135,,81,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-453-de-20-de-julho-de-2026-720507699,portaria-sefic/minc-n-453-de-20-de-julho-de-2026-720507699,1,25888.83,True,Homologar o valor complementado de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 454, DE 20 DE JULHO DE 2026",454,prorrogacao_prazo,True,False,2026-07-20,2026-07-21,135,,81,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-454-de-20-de-julho-de-2026-720510974,portaria-sefic/minc-n-454-de-20-de-julho-de-2026-720510974,4,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 455, DE 20 DE JULHO DE 2026",455,reducao_valor,False,False,2026-07-20,2026-07-21,135,,82,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-455-de-20-de-julho-de-2026-720480430,portaria-sefic/minc-n-455-de-20-de-julho-de-2026-720480430,2,2467.7799999999997,True,Homologar o valor reduzido de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 456, DE 20 DE JULHO DE 2026",456,alteracao_projeto,False,False,2026-07-20,2026-07-21,135,,82,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-456-de-20-de-julho-de-2026-720526098,portaria-sefic/minc-n-456-de-20-de-julho-de-2026-720526098,4,0.0,True,Homologar a alteração dos projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 457, DE 21 DE JULHO DE 2026",457,homologacao_captacao,True,True,2026-07-21,2026-07-22,136,,36,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-457-de-21-de-julho-de-2026-720535762,portaria-sefic/minc-n-457-de-21-de-julho-de-2026-720535762,28,23493571.939999998,True,Homologar os projetos culturais relacionados nos
