Mês,Dívida bruta — abertura (R$ milhões),Dívida bruta — abertura (% PIB),Fatores condicionantes (R$ milhões),Fatores condicionantes (% PIB),Necessidade de financiamento da DBGG (R$ milhões),Necessidade de financiamento da DBGG (% PIB),Juros nominais (R$ milhões),Juros nominais (% PIB),Emissões líquidas (R$ milhões),Emissões líquidas (% PIB),Ajuste cambial (R$ milhões),Ajuste cambial (% PIB),Dívida interna indexada ao câmbio (R$ milhões),Dívida interna indexada ao câmbio (% PIB),Dívida externa — metodológico (R$ milhões),Dívida externa — metodológico (% PIB),Dívida externa — outros ajustes (R$ milhões),Dívida externa — outros ajustes (% PIB),Reconhecimento de dívidas (R$ milhões),Reconhecimento de dívidas (% PIB),Privatizações (R$ milhões),Privatizações (% PIB),Efeito do crescimento do PIB sobre a dívida (p.p. do PIB),Variação mensal da dívida bruta (R$ milhões),Variação mensal da dívida bruta (p.p. do PIB),Dívida bruta — fechamento (R$ milhões),Dívida bruta — fechamento (% PIB),PIB acumulado em 12 meses (R$ milhões),Publicação BCB
2014-08-31,2983108.327418,53.209659,51571.202210,0.914709,52600.315063,0.932962,21747.220690,0.385727,30853.094373,0.547236,-2058.147093,-0.036505,-137.235171,-0.002434,-1920.911922,-0.034071,1029.034240,0.018252,0.000000,0.000000,0.000000,0.000000,-0.298805,51571.202210,0.615905,3034679.529627,53.825564,5637989.284633,facdbp-201812
2014-09-30,3034679.529627,53.825564,97453.586475,1.714633,83653.198874,1.471824,27358.391558,0.481353,56294.807316,0.990471,15741.432747,0.276960,1043.118991,0.018353,14698.313756,0.258607,-1941.045147,-0.034151,0.000000,0.000000,0.000000,0.000000,-0.432346,97453.586475,1.282286,3132133.116102,55.107850,5683642.352191,facdbp-201812
2014-10-31,3132133.116102,55.107850,36579.839176,0.639742,37651.262854,0.658481,29857.470635,0.522175,7793.792219,0.136305,-511.120838,-0.008939,-33.170387,-0.000580,-477.950451,-0.008359,-560.302840,-0.009799,0.000000,0.000000,0.000000,0.000000,-0.330173,36579.839176,0.309569,3168712.955278,55.417419,5717900.613832,facdbp-201812
2014-11-30,3168712.955278,55.417419,49138.417758,0.854930,41385.800642,0.720047,27031.044848,0.470297,14354.755793,0.249750,8747.106051,0.152186,560.918618,0.009759,8186.187433,0.142427,-994.488935,-0.017303,0.000000,0.000000,0.000000,0.000000,-0.286842,49138.417758,0.568089,3217851.373036,55.985508,5747650.576558,facdbp-201812
2014-12-31,3217851.373036,55.985508,34597.176215,0.598676,28588.856727,0.494707,31579.509992,0.546457,-2990.653265,-0.051751,7336.929258,0.126959,465.164163,0.008049,6871.765094,0.118910,-1328.609769,-0.022990,0.000000,0.000000,0.000000,0.000000,-0.303253,34597.176215,0.295423,3252448.549252,56.280931,5778953.000000,facdbp-201812
2015-01-31,3252448.549252,56.280931,62875.829076,1.084182,61216.787813,1.055575,31253.994862,0.538920,29962.792951,0.516655,465.209998,0.008022,30.175013,0.000520,435.034985,0.007501,1193.831265,0.020586,0.000000,0.000000,0.000000,0.000000,-0.198217,62875.829076,0.885965,3315324.378328,57.166896,5799377.999736,facdbp-201812
2015-02-28,3315324.378328,57.166896,71556.459996,1.231533,56302.772445,0.969007,32303.179330,0.555958,23999.593115,0.413048,16404.019260,0.282324,1056.977188,0.018191,15347.042071,0.264132,-1150.331708,-0.019798,0.000000,0.000000,0.000000,0.000000,-0.108038,71556.459996,1.123495,3386880.838324,58.290391,5810358.779239,facdbp-201812
2015-03-31,3386880.838324,58.290391,93348.450117,1.595749,70888.645974,1.211809,39619.546088,0.677278,31269.099886,0.534531,24729.538267,0.422740,1601.928887,0.027384,23127.609380,0.395356,-2269.734124,-0.038800,0.000000,0.000000,0.000000,0.000000,-0.393223,93348.450117,1.202526,3480229.288441,59.492917,5849821.231869,facdbp-201812
2015-04-30,3480229.288441,59.492917,-12119.918664,-0.206575,2666.725647,0.045452,37841.522619,0.644980,-35174.796973,-0.599528,-15826.793609,-0.269756,-1008.627042,-0.017191,-14818.166566,-0.252564,1040.149298,0.017729,0.000000,0.000000,0.000000,0.000000,-0.175036,-12119.918664,-0.381611,3468109.369777,59.111306,5867082.981768,facdbp-201812
2015-05-31,3468109.369777,59.111306,70598.942729,1.201143,58283.976213,0.991621,34075.067597,0.579740,24208.908616,0.411881,13708.028000,0.233223,856.595099,0.014574,12851.432901,0.218649,-1393.061484,-0.023701,0.000000,0.000000,0.000000,0.000000,-0.106219,70598.942729,1.094924,3538708.312506,60.206230,5877644.738298,facdbp-201812
2015-06-30,3538708.312506,60.206230,49732.090956,0.841835,55349.008059,0.936914,36284.768197,0.614206,19064.239862,0.322708,-5635.158986,-0.095389,-352.308343,-0.005964,-5282.850643,-0.089425,18.241883,0.000309,0.000000,0.000000,0.000000,0.000000,-0.305132,49732.090956,0.536703,3588440.403461,60.742933,5907585.024326,facdbp-201812
2015-07-31,3588440.403461,60.742933,96510.558997,1.627944,74012.585741,1.248447,40665.990251,0.685956,33346.595490,0.562492,21486.257872,0.362431,1353.013645,0.022823,20133.244228,0.339608,1011.715384,0.017066,0.000000,0.000000,0.000000,0.000000,-0.212979,96510.558997,1.414965,3684950.962459,62.157898,5928371.296702,facdbp-201812
2015-08-31,3684950.962459,62.157898,58730.026103,0.988113,41439.652434,0.697208,38317.578522,0.644680,3122.073912,0.052528,18388.340812,0.309378,1178.194300,0.019823,17210.146513,0.289555,-1097.967143,-0.018473,0.000000,0.000000,0.000000,0.000000,-0.159850,58730.026103,0.828262,3743680.988562,62.986160,5943656.505154,facdbp-201812
