codigo,ano,data,valor_dezembro_rs_mil,variacao_ano_rs_mil,n_meses,fechamento,serie,coluna,grupo,valor_dezembro_rs_milhoes,variacao_ano_rs_milhoes
1809,2000,2000-12-01,9094619,21398839.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,9094.619,21398.839
1810,2000,2000-12-01,-90184,-26539148.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-90.184,-26539.148
1811,2000,2000-12-01,-1941905,4402641.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-1941.905,4402.641
1815,2000,2000-12-01,-127452,1478559.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-127.452,1478.559
1818,2000,2000-12-01,20253,-839262.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,20.253,-839.262
12484,2000,2000-12-01,0,-614971.0,10,dezembro,Redesconto do Banco Central,redesconto,fator,0.0,-614.971
1788,2001,2001-12-01,53255971,5569758.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,53255.971,5569.758
1809,2001,2001-12-01,1536537,41318272.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,1536.537,41318.272
1810,2001,2001-12-01,8397878,-11944926.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,8397.878,-11944.926
1811,2001,2001-12-01,-2232312,-18572367.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-2232.312,-18572.367
1815,2001,2001-12-01,-614102,-1806911.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-614.102,-1806.911
1818,2001,2001-12-01,-66297,-3424281.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-66.297,-3424.281
12484,2001,2001-12-01,0,0.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,0.0,0.0
1788,2002,2002-12-01,73302272,20046301.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,73302.272,20046.301
1809,2002,2002-12-01,15954153,90722091.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,15954.153,90722.091
1810,2002,2002-12-01,196734,-20483697.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,196.734,-20483.697
1811,2002,2002-12-01,-4981600,-26426605.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-4981.6,-26426.605
1815,2002,2002-12-01,-276310,-33769655.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-276.31,-33769.655
1818,2002,2002-12-01,143984,-1338211.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,143.984,-1338.211
12484,2002,2002-12-01,-932,400375.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-0.932,400.375
12487,2002,2002-12-01,1707304,10564640.0,7,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,1707.304,10564.64
1788,2003,2003-12-01,73219136,-83136.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,73219.136,-83.136
1809,2003,2003-12-01,3231403,11180802.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,3231.403,11180.802
1810,2003,2003-12-01,11711648,-1064493.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,11711.648,-1064.493
1811,2003,2003-12-01,13499,643224.0,12,dezembro,Operações com o setor externo,setor_externo,fator,13.499,643.224
1815,2003,2003-12-01,-1665840,6729147.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-1665.84,6729.147
1818,2003,2003-12-01,22977,-1941998.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,22.977,-1941.998
12484,2003,2003-12-01,-3965,2247.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,-3.965,2.247
12487,2003,2003-12-01,-2507953,-15632065.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-2507.953,-15632.065
1788,2004,2004-12-01,88732677,15513541.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,88732.677,15513.541
1809,2004,2004-12-01,12183568,57838483.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,12183.568,57838.483
1810,2004,2004-12-01,-2788872,-48292470.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-2788.872,-48292.47
