codigo,ano,data,valor_dezembro_rs_mil,variacao_ano_rs_mil,n_meses,fechamento,serie,coluna,grupo,valor_dezembro_rs_milhoes,variacao_ano_rs_milhoes
28724,2020,2020-12-01,27816100,65828662.0,8,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,27816.1,65828.662
29004,2020,2020-12-01,-179441373,-365463108.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-179441.373,-365463.108
29006,2020,2020-12-01,159931460,-264574325.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,159931.46,-264574.325
1788,2021,2021-12-01,409183519,-22353134.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,409183.519,-22353.134
1809,2021,2021-12-01,76002281,182431271.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,76002.281,182431.271
1810,2021,2021-12-01,-42883828,-81290481.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-42883.828,-81290.481
1811,2021,2021-12-01,-35033500,-36630770.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-35033.5,-36630.77
1815,2021,2021-12-01,246624,-26059891.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,246.624,-26059.891
1818,2021,2021-12-01,-11219235,-30402627.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-11219.235,-30402.627
12484,2021,2021-12-01,50194,44990.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,50.194,44.99
12487,2021,2021-12-01,3983847,22323949.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,3983.847,22323.949
28724,2021,2021-12-01,4765473,-52769578.0,12,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,4765.473,-52769.578
29004,2021,2021-12-01,-61753191,-121550764.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-61753.191,-121550.764
29006,2021,2021-12-01,137755472,303982035.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,137755.472,303982.035
1788,2022,2022-12-01,419659918,10476399.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,419659.918,10476.399
1809,2022,2022-12-01,139533680,437174227.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,139533.68,437174.227
1810,2022,2022-12-01,-35780006,-152518591.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-35780.006,-152518.591
1811,2022,2022-12-01,-46541023,-56620783.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-46541.023,-56620.783
1815,2022,2022-12-01,13351980,-54168500.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,13351.98,-54168.5
1818,2022,2022-12-01,-19082092,-80194454.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-19082.092,-80194.454
12484,2022,2022-12-01,26424,-27398.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,26.424,-27.398
12487,2022,2022-12-01,-5739568,-92265400.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-5739.568,-92265.4
28724,2022,2022-12-01,-17642115,9097299.0,12,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,-17642.115,9097.299
29004,2022,2022-12-01,-22231419,251182278.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-22231.419,251182.278
29006,2022,2022-12-01,161765099,185991949.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,161765.099,185991.949
1788,2023,2023-12-01,422718628,3058710.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,422718.628,3058.71
1809,2023,2023-12-01,-18023368,-56588088.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,-18023.368,-56588.088
1810,2023,2023-12-01,80331787,206854972.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,80331.787,206854.972
1811,2023,2023-12-01,233715,78236910.0,12,dezembro,Operações com o setor externo,setor_externo,fator,233.715,78236.91
1815,2023,2023-12-01,-16363195,-45370899.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-16363.195,-45370.899
1818,2023,2023-12-01,-22381990,-75435615.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-22381.99,-75435.615
12484,2023,2023-12-01,0,-29715.0,12,dezembro,Redesconto do Banco Central,redesconto,fator,0.0,-29.715
12487,2023,2023-12-01,-6628462,-70871662.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,-6628.462,-70871.662
28724,2023,2023-12-01,0,-33737198.0,12,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,0.0,-33737.198
29004,2023,2023-12-01,-127402891,73732460.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-127402.891,73732.46
29006,2023,2023-12-01,109379523,-130320548.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,109379.523,-130320.548
1788,2024,2024-12-01,451213588,28494960.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,451213.588,28494.96
1809,2024,2024-12-01,211370114,158704826.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,211370.114,158704.826
1810,2024,2024-12-01,-55712578,65831935.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-55712.578,65831.935
1811,2024,2024-12-01,-186347058,-212477334.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-186347.058,-212477.334
1815,2024,2024-12-01,35522321,-706950.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,35522.321,-706.95
1818,2024,2024-12-01,-10450304,-98786795.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-10450.304,-98786.795
12484,2024,2024-07-01,0,-788.0,7,ultimo_07/2024,Redesconto do Banco Central,redesconto,fator,0.0,-0.788
12487,2024,2024-12-01,19928148,115930245.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,19928.148,115930.245
28724,2024,2024-12-01,0,-21.0,12,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,0.0,-0.021
29004,2024,2024-12-01,-30736668,65135039.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-30736.668,65135.039
29006,2024,2024-12-01,242106782,93569787.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,242106.782,93569.787
1788,2025,2025-12-01,447096654,-4116934.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,447096.654,-4116.934
1809,2025,2025-12-01,73663510,54036513.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,73663.51,54036.513
1810,2025,2025-12-01,-35402732,94770505.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-35402.732,94770.505
1811,2025,2025-12-01,-22296357,8357906.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-22296.357,8357.906
1815,2025,2025-12-01,-20160853,45376981.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-20160.853,45376.981
1818,2025,2025-12-01,2448268,-100762164.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,2448.268,-100762.164
12487,2025,2025-12-01,18302009,-105895906.0,12,dezembro,Derivativos — ajustes,derivativos_ajustes,fator,18302.009,-105895.906
28724,2025,2025-12-01,0,-24.0,12,dezembro,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,0.0,-0.024
29004,2025,2025-12-01,-77293578,-376560608.0,12,dezembro,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-77293.578,-376560.608
29006,2025,2025-12-01,150957088,430597121.0,12,dezembro,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,150957.088,430597.121
1788,2026,2026-06-01,431100998,-15995656.0,6,ultimo_06/2026,Base monetária restrita,base_monetaria_restrita,resultado,431100.998,-15995.656
1809,2026,2026-06-01,-55189171,-72034109.0,6,ultimo_06/2026,Títulos públicos federais — Total,titulos_publicos_total,fator,-55189.171,-72034.109
1810,2026,2026-06-01,60858785,131825207.0,6,ultimo_06/2026,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,60858.785,131825.207
1811,2026,2026-06-01,2919547,52583317.0,6,ultimo_06/2026,Operações com o setor externo,setor_externo,fator,2919.547,52583.317
1815,2026,2026-06-01,3858149,14472391.0,6,ultimo_06/2026,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,3858.149,14472.391
1818,2026,2026-06-01,-19230225,-81478091.0,6,ultimo_06/2026,Autoridade Monetária — Outras operações,outras_operacoes,fator,-19230.225,-81478.091
12487,2026,2026-06-01,9276611,-62162632.0,6,ultimo_06/2026,Derivativos — ajustes,derivativos_ajustes,fator,9276.611,-62162.632
28724,2026,2026-06-01,800000,800000.0,6,ultimo_06/2026,Linhas temporárias especiais de liquidez,linhas_temporarias_liquidez,fator,800.0,800.0
29004,2026,2026-06-01,-125795713,20176538.0,6,ultimo_06/2026,Títulos públicos — mercado primário,titulos_mercado_primario,desdobramento,-125795.713,20176.538
29006,2026,2026-06-01,70606542,-92210646.0,6,ultimo_06/2026,Títulos públicos — mercado secundário,titulos_mercado_secundario,desdobramento,70606.542,-92210.646
