codigo,modalidade,segmento,origem,inicio,fim,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
20741,PF — cheque especial,PF,Livres,01/2001,06/2026,153.2775,159.61833333333334,165.33416666666668,141.48666666666665,147.55833333333334,144.62,139.9466666666667,160.78416666666666,165.20000000000002,164.27,153.58,134.80666666666667,123.72416666666668,151.705,214.0975,273.2716666666667,277.81083333333333,264.94166666666666,263.95416666666665,119.145,125.46666666666665,130.42416666666668,132.08,132.41833333333332,137.80166666666668,140.1
20742,PF — crédito pessoal não consignado,PF,Livres,03/2011,06/2026,,,,,,,,,,,77.319,70.80916666666667,76.27166666666666,98.64999999999999,114.90666666666668,130.76333333333332,130.56583333333333,120.58333333333333,114.46583333333332,84.62333333333333,82.40083333333332,84.51166666666667,90.67583333333333,96.12583333333333,105.73833333333333,119.98166666666667
20747,PF — crédito pessoal consignado total,PF,Livres,01/2004,06/2026,,,,38.93333333333333,37.666666666666664,35.416666666666664,31.05,28.724999999999998,28.191666666666666,26.8,28.984166666666667,26.2375,24.459999999999997,25.588333333333335,27.602500000000003,29.563333333333333,27.65416666666667,25.16416666666667,22.633333333333336,19.690833333333334,19.3025,24.858333333333334,25.478333333333335,23.462500000000002,26.53916666666667,28.008333333333336
20748,PF — crédito pessoal total,PF,Livres,01/2001,06/2026,77.91250000000001,85.31,91.40166666666666,73.5475,69.3975,62.26083333333333,50.9725,54.055,47.5325,42.88833333333333,44.68833333333333,39.91833333333333,39.14666666666667,45.04916666666667,49.53583333333333,53.685,49.935833333333335,45.21083333333333,42.695,33.7825,33.93,40.555,42.25416666666667,42.74333333333333,49.567499999999995,55.45666666666667
20749,PF — aquisição de veículos,PF,Livres,01/2001,06/2026,39.17416666666667,46.21083333333333,44.76,35.70166666666667,36.1325,33.535000000000004,29.775000000000002,32.689166666666665,28.021666666666665,23.91916666666667,27.1875,22.238333333333333,20.550833333333333,22.996666666666666,25.023333333333337,26.3925,23.85083333333333,22.028333333333332,20.6025,19.2575,22.71166666666667,27.331666666666667,27.151666666666667,25.860833333333332,27.7775,26.831666666666667
20750,PF — aquisição de outros bens,PF,Livres,03/2011,06/2026,,,,,,,,,,,74.765,71.62083333333334,69.49916666666667,78.15833333333333,85.23833333333333,94.39583333333333,89.93,82.06416666666667,71.18916666666667,61.59,56.189166666666665,80.99,82.24833333333333,88.09166666666665,93.175,95.31333333333333
20756,Recursos direcionados — total,Total,Direcionados,03/2011,06/2026,,,,,,,,,,,9.629999999999999,8.466666666666667,7.2058333333333335,7.954166666666667,9.3475,10.9825,10.100833333333332,8.72,8.155,7.3675,7.8075,10.533333333333333,11.0225,10.239166666666668,11.716666666666667,12.086666666666666
20760,PJ — crédito rural total,PJ,Direcionados,03/2011,06/2026,,,,,,,,,,,8.258,7.769166666666667,7.235,7.679166666666666,9.336666666666666,11.01,9.775833333333333,8.8675,8.049999999999999,5.9750000000000005,7.0441666666666665,12.205,12.3175,11.9525,14.184166666666668,12.695
20763,PJ — financiamento imobiliário total,PJ,Direcionados,03/2011,06/2026,,,,,,,,,,,11.695,10.343333333333334,10.471666666666666,10.8975,11.833333333333334,12.705,11.429166666666667,10.985833333333332,10.321666666666667,8.566666666666666,7.947500000000001,10.7675,10.88,10.52,11.975833333333334,11.979999999999999
20768,Direcionados PF — total,PF,Direcionados,03/2011,06/2026,,,,,,,,,,,9.209,7.703333333333333,7.180833333333333,8.198333333333332,9.3075,10.290833333333333,8.9725,7.923333333333333,7.726666666666667,7.189166666666666,7.239999999999999,10.243333333333334,10.904166666666667,9.94,11.135,11.133333333333333
