mes,ano,selic_am,selic_cf_am,ipca_acum_ano_pct,selic_cf_acum_ano_pct,estoque_selic_act,estoque_selic_cf,juros_selic_act,juros_selic_cf,emissao_selic,residuo_selic,dbgg_act,dbgg_cf,delta_estoque_selic,delta_dbgg,dbgg_pib_cf,dbgg_pib_act
2007-05-01,2007,1.03000000,0.39364223,4.45733043,4.82733043,568917.93949478,260836.53933078,5448.68388971,919.25330491,20007.35032978,0.00000003,1474335.19997348,1166253.79980948,308081.40016400,308081.40016400,35.77860677,45.23000000
2007-06-01,2007,0.91000000,0.39364223,4.45733043,4.82733043,546778.63195456,234678.37544217,5013.07896715,994.22261876,-27152.38650738,0.00000001,1499458.72639250,1187358.46988011,312100.25651239,312100.25651239,35.47524084,44.80000000
2007-07-01,2007,0.97000000,0.39364223,4.45733043,4.82733043,604562.80045891,287841.36663398,5595.84662374,974.66931121,52188.32188062,-0.00000001,1517873.99883538,1201152.56501045,316721.43382493,316721.43382493,35.39658382,44.73000000
2007-08-01,2007,0.99000000,0.39364223,4.45733043,4.82733043,606179.61070775,284586.46653657,6009.35340821,1137.64306196,-4392.54315939,0.00000002,1536267.52585414,1214674.38168296,321593.14417118,321593.14417118,34.86046056,44.09000000
2007-09-01,2007,0.80000000,0.39364223,4.45733043,4.82733043,589138.29087845,263899.83967520,4740.36267182,1095.05563975,-21781.68250112,0.00000000,1533431.75613669,1208193.30493344,325238.45120325,325238.45120325,35.13253149,44.59000000
2007-10-01,2007,0.93000000,0.39364223,4.45733043,4.82733043,619556.76110118,289434.74977314,6026.11811498,1142.55799019,24392.35210779,-0.00000004,1538287.06165638,1208165.05032834,330122.01132804,330122.01132804,35.02867741,44.60000000
2007-11-01,2007,0.84000000,0.39364223,4.45733043,4.82733043,602166.63923225,268085.52133548,5068.78073146,1109.67416273,-22458.90260039,0.00000000,1544955.73085466,1210874.61295789,334081.11789677,334081.11789677,34.57165672,44.11000000
2007-12-01,2007,0.84000000,0.39364223,4.45733043,4.82733043,580232.78893847,242169.75823894,5031.67719635,1049.76439359,-26965.52749011,-0.00000002,1542851.83360594,1204788.80290641,338063.03069953,338063.03069953,34.78839640,44.55000000
2008-01-01,2008,0.93000000,0.50824226,5.90231342,6.27231342,648342.47563314,305906.23962712,5665.43119259,1292.22588610,62444.25550201,0.00000007,1579474.28477737,1237038.04877135,342436.23600602,342436.23600602,34.23350012,43.71000000
2008-02-01,2008,0.80000000,0.50824226,5.90231342,6.27231342,628110.79368393,282180.34608603,4989.97555813,1495.76396625,-25221.65750725,-0.00000009,1583893.91637378,1237963.46877588,345930.44759790,345930.44759790,34.22604237,43.79000000
2008-03-01,2008,0.84000000,0.50824226,5.90231342,6.27231342,621953.79109755,272165.89920188,5297.38009844,1439.93580067,-11454.38268490,0.00000008,1599048.51215762,1249260.62026195,349787.89189567,349787.89189567,33.59385676,43.00000000
2008-04-01,2008,0.90000000,0.50824226,5.90231342,6.27231342,677066.61177305,322481.54050862,6371.75210212,1574.57273336,48741.06857345,-0.00000007,1602356.93430416,1247771.86303973,354585.07126443,354585.07126443,33.34437542,42.82000000
2008-05-01,2008,0.88000000,0.50824226,5.90231342,6.27231342,663408.74984930,304665.41566644,5736.18079097,1577.91787254,-19394.04271482,0.00000010,1598411.02302704,1239667.68884418,358743.33418286,358743.33418286,33.37245545,43.03000000
2008-06-01,2008,0.96000000,0.50824226,5.90231342,6.27231342,662636.05240933,299120.08577364,6305.76305240,1533.13059958,-7078.46049232,-0.00000005,1612136.72841997,1248620.76178428,363515.96663569,363515.96663569,33.21886012,42.89000000
2008-07-01,2008,1.07000000,0.50824226,5.90231342,6.27231342,741866.72246238,372612.86876803,7303.97796139,1566.09090273,71926.69209164,0.00000002,1632713.67640253,1263459.82270818,369253.85369435,369253.85369435,33.07393917,42.74000000
2008-08-01,2008,1.02000000,0.50824226,5.90231342,6.27231342,729501.00520514,354793.33032306,7274.34551950,1820.52433177,-19640.06277674,0.00000000,1634590.61511133,1259882.94022925,374707.67488208,374707.67488208,32.38748630,42.02000000
2008-09-01,2008,1.10000000,0.50824226,5.90231342,6.27231342,719499.36502673,338642.75295352,7931.17246954,1782.23527841,-17932.81264798,0.00000003,1656166.53259399,1275309.92052078,380856.61207321,380856.61207321,30.77068847,39.96000000
2008-10-01,2008,1.18000000,0.50824226,5.90231342,6.27231342,742373.80756093,354427.19713962,8892.75166380,1802.75331570,13981.69087046,-0.00000006,1684285.47438664,1296338.86396533,387946.61042131,387946.61042131,29.47824418,38.30000000
2008-11-01,2008,1.02000000,0.50824226,5.90231342,6.27231342,726527.36351798,333005.29896657,7315.80662448,1740.35249438,-23162.25066742,-0.00000001,1687694.47632638,1294172.41177497,393522.06455141,393522.06455141,28.33431719,36.95000000
2008-12-01,2008,1.12000000,0.50824226,5.90231342,6.27231342,754748.91465760,354453.38411633,8552.29701564,1778.83102578,19669.25412393,0.00000005,1740887.81455873,1340592.28401746,400295.53054127,400295.53054127,28.93124513,37.57000000
2009-01-01,2009,1.05000000,0.38203848,4.31202833,4.68202833,850848.08416209,443557.16158035,8437.06132286,1441.66928239,87662.10818163,0.00000000,1775483.00270070,1368192.08011896,407290.92258174,407290.92258174,29.32143454,38.05000000
2009-02-01,2009,0.86000000,0.38203848,4.31202833,4.68202833,847366.17249615,434705.75196469,6987.73749205,1618.23954233,-10469.64915798,-0.00000001,1791071.98833643,1378411.56780497,412660.42053146,412660.42053146,29.26024646,38.02000000
2009-03-01,2009,0.97000000,0.38203848,4.31202833,4.68202833,841734.13009426,422449.03945804,8302.11558526,1677.44548050,-13934.15798715,0.00000000,1812527.09966771,1393242.00903149,419285.09063622,419285.09063622,29.24034958,38.04000000
2009-04-01,2009,0.84000000,0.38203848,4.31202833,4.68202833,853924.49299965,428759.50378843,7619.00142701,1739.10285201,4571.36147840,-0.00000002,1797074.17351202,1371909.18430080,425164.98921122,425164.98921122,29.50589951,38.65000000
2009-05-01,2009,0.77000000,0.38203848,4.31202833,4.68202833,884404.01596601,454225.93331689,6676.30166323,1663.20822532,23803.22130309,0.00000004,1813137.24722316,1382959.16457404,430178.08264912,430178.08264912,30.25041847,39.66000000
2009-06-01,2009,0.76000000,0.38203848,4.31202833,4.68202833,883796.80466857,448586.78450691,6783.18974470,1751.25223217,-7390.40104208,-0.00000006,1859801.54945205,1424591.52929039,435210.02016166,435210.02016166,30.62432621,39.98000000
2009-07-01,2009,0.79000000,0.38203848,4.31202833,4.68202833,947379.12366540,507040.55661962,6796.88456737,1668.33768324,56785.43442940,0.00000006,1908617.46290886,1468278.89586307,440338.56704578,440338.56704578,31.26391510,40.64000000
2009-08-01,2009,0.69000000,0.38203848,4.31202833,4.68202833,944103.44911524,499212.02235285,6470.17122972,1917.31151312,-9745.84577983,-0.00000005,1951925.04515341,1507033.61839102,444891.42676239,444891.42676239,31.36942992,40.63000000
2009-09-01,2009,0.69000000,0.38203848,4.31202833,4.68202833,942829.52454721,493254.34160652,6622.65786658,1938.90168828,-7896.58243464,0.00000003,1962852.33866988,1513277.15572919,449575.18294069,449575.18294069,32.04102385,41.56000000
