ano,n_meses,mes_final,ipca_acum_pct,selic_cf_acum_pct,selic_acum_pct,juros_selic_act,juros_selic_cf,economia_juros,estoque_selic_act,estoque_selic_cf,dbgg_act,dbgg_cf,delta_dbgg,dbgg_pib_act,dbgg_pib_cf,reducao_ano,reducao_acumulada,variacao_delta_dbgg,participacao_pct,spread_selic_menos_cf
2016,12,2016-12-01,6.28805505,6.65805505,14.02838763,232251.36223635,49851.68778409,182399.67445226,1918752.38231828,823193.34596055,4378486.39497225,3282927.35861452,1095559.03635773,46.14000000,34.59512139,182399.67445226,1095559.03635773,182399.67445226,5.09233008,7.37033258
2017,12,2017-12-01,2.94734991,3.31734991,9.95564232,195121.73108859,30120.61528248,165001.11580611,2177104.98508228,916544.83291844,4854678.58647316,3594118.43430932,1260560.15216384,51.37000000,38.03132600,165001.11580611,1260560.15216384,165001.11580611,4.60658797,6.63829241
2018,12,2018-12-01,3.74548212,4.11548212,6.42152120,140704.40894162,41316.25357287,99388.15536875,2509463.41400522,1149515.10647263,5271982.25856809,3912033.95103549,1359948.30753259,52.77000000,39.15757328,99388.15536875,1359948.30753259,99388.15536875,2.77477082,2.30603908
2019,12,2019-12-01,4.30603998,4.67603998,5.94594036,153195.22615653,59169.82513554,94025.40102099,2644895.86473309,1190922.15617951,5500104.15654906,4046130.44799548,1453973.70855358,54.70000000,40.23984441,94025.40102099,1453973.70855358,94025.40102099,2.62505062,1.26990037
2020,12,2020-12-01,4.51734150,2.75381578,2.75381578,79806.42598998,40261.41710397,39545.00888601,3046581.63859695,1553062.92115736,6615755.20385280,5122236.48641321,1493518.71743959,61.37000000,47.51561137,39545.00888601,1493518.71743959,39545.00888601,1.10403837,0.00000000
2021,12,2021-12-01,10.06105489,4.43568776,4.43568776,138565.90883077,70170.03413803,68395.87469274,3117259.54614057,1555344.95400824,6966925.20075086,5405010.60861853,1561914.59213233,55.11000000,42.75489202,68395.87469274,1561914.59213233,68395.87469274,1.90951202,0.00000000
2022,12,2022-12-01,5.78484196,6.15484196,12.38048663,396376.86557541,98351.97887842,298024.88669699,3269588.27164342,1409648.79281411,7224882.23036494,5364942.75153562,1859939.47882931,56.13000000,41.68015852,298024.88669699,1859939.47882931,298024.88669698,8.32041560,6.22564467
2023,12,2023-12-01,4.62111393,4.99111393,13.02823091,464903.10176633,82091.02515442,382812.07661191,3892563.64661376,1649812.09117253,8079270.02452043,5836518.46907920,2242751.55544123,60.43000000,43.65503443,382812.07661191,2242751.55544123,382812.07661191,10.68754898,8.03711698
2024,12,2024-12-01,4.83129579,5.20129579,10.88812643,483616.92215309,109990.23768312,373626.68446997,4757243.88275394,2140865.64284274,8984236.59444961,6367858.35453841,2616378.23991120,61.30000000,43.44829002,373626.68446997,2616378.23991120,373626.68446997,10.43110637,5.68683064
2025,12,2025-12-01,4.26438490,4.63438490,14.33275639,697542.74516402,101176.12387384,596366.62129018,5286916.60437279,2074171.74317141,10017919.13888715,6805174.27768576,3212744.86120139,65.24000000,44.31754377,596366.62129018,3212744.86120139,596366.62129018,16.64967712,9.69837149
2026,7,2026-07-01,3.43684656,3.65267990,8.14027645,450825.70584819,81719.59867445,369106.10717373,5933260.26284602,2351409.29447091,10880988.50697592,7299137.53860081,3581850.96837512,,,369106.10717373,3581850.96837512,369106.10717373,10.30489851,4.48759655
