segmento,modalidade_ifdata,rank,instituicao,cod_inst,cnpj_lider,saldo,modalidade_olinda,if_olinda,taxa_aa
PF,Habitação,4,SANTANDER - PRUDENCIAL,C0080185,90400888,68899156006.84,Financiamento imobiliário com taxas de mercado - Prefixado,BCO SANTANDER (BRASIL) S.A.,14.61
PF,Habitação,4,SANTANDER - PRUDENCIAL,C0080185,90400888,68899156006.84,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BCO SANTANDER (BRASIL) S.A.,12.29
PF,Habitação,5,BB - PRUDENCIAL,C0080329,00000000,45910463604.17,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BCO DO BRASIL S.A.,14.42
PF,Outros Créditos,1,ITAU - PRUDENCIAL,C0080099,60872504,40715034063.12,sem publicação Olinda para o conglomerado,—,
PF,Outros Créditos,2,SANTANDER - PRUDENCIAL,C0080185,90400888,28580666923.03,Aquisição de outros bens - Prefixado,SANTANDER SCFI S.A.,28.64
PF,Outros Créditos,3,BB - PRUDENCIAL,C0080329,00000000,23402985710.94,Aquisição de outros bens - Prefixado,BCO DO BRASIL S.A.,47.75
PF,Outros Créditos,3,BB - PRUDENCIAL,C0080329,00000000,23402985710.94,Desconto de cheques - Prefixado,BCO DO BRASIL S.A.,71.36
PF,Outros Créditos,4,BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL,C0081555,01023570,22827379824.58,sem publicação Olinda para o conglomerado,—,
PF,Outros Créditos,5,BRADESCO - PRUDENCIAL,C0080075,60746948,21959266692.7,Aquisição de outros bens - Prefixado,BCO BRADESCO FINANC. S.A. / BCO BRADESCO S.A.,32.17
PF,Outros Créditos,5,BRADESCO - PRUDENCIAL,C0080075,60746948,21959266692.7,Desconto de cheques - Prefixado,BCO BRADESCO S.A.,42.56
PF,Rural e Agroindustrial,1,BB - PRUDENCIAL,C0080329,00000000,366498926114.18,—,—,
PF,Rural e Agroindustrial,2,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,48742586093.92,—,—,
PF,Rural e Agroindustrial,3,BRADESCO - PRUDENCIAL,C0080075,60746948,36439223568.42,—,—,
PF,Rural e Agroindustrial,4,BCO COOPERATIVO SICREDI - PRUDENCIAL,C0080745,01181521,32014696965.83,—,—,
PF,Rural e Agroindustrial,5,BCO DA AMAZONIA S.A. - PRUDENCIAL,C0081249,04902979,21694398087.92,—,—,
PF,Veículos,1,SANTANDER - PRUDENCIAL,C0080185,90400888,82382430367.21,Aquisição de veículos - Prefixado,BANCO HYUNDAI CAPITAL BRASIL / BCO RCI BRASIL S.A. / SANTANDER SCFI S.A.,17.25
PF,Veículos,2,VOTORANTIM - PRUDENCIAL,C0080484,59588111,55898986813.29,Aquisição de veículos - Prefixado,BCO VOTORANTIM S.A.,31.32
PF,Veículos,3,BRADESCO - PRUDENCIAL,C0080075,60746948,46252762928.89,Aquisição de veículos - Prefixado,BCO BRADESCO FINANC. S.A. / BCO BRADESCO S.A.,24.97
PF,Veículos,4,BTG PACTUAL - PRUDENCIAL,C0080336,30306294,38615319601.72,Aquisição de veículos - Prefixado,BANCO PAN,41.29
PF,Veículos,5,ITAU - PRUDENCIAL,C0080099,60872504,35911925765.29,Aquisição de veículos - Prefixado,ITAÚ UNIBANCO HOLDING S.A.,28.4
PJ,Capital de Giro,1,BRADESCO - PRUDENCIAL,C0080075,60746948,115229277268.76,Capital de giro com prazo até 365 dias - Prefixado,BCO BRADESCO S.A.,32.53
PJ,Capital de Giro,1,BRADESCO - PRUDENCIAL,C0080075,60746948,115229277268.76,Capital de giro com prazo superior a 365 dias - Prefixado,BCO BRADESCO S.A.,31.93
PJ,Capital de Giro,2,ITAU - PRUDENCIAL,C0080099,60872504,110604370929.34,Capital de giro com prazo até 365 dias - Prefixado,ITAÚ UNIBANCO S.A.,25.2
PJ,Capital de Giro,2,ITAU - PRUDENCIAL,C0080099,60872504,110604370929.34,Capital de giro com prazo superior a 365 dias - Prefixado,ITAÚ UNIBANCO S.A.,26.6
PJ,Capital de Giro,3,BB - PRUDENCIAL,C0080329,00000000,86087364571.09,Capital de giro com prazo até 365 dias - Prefixado,BCO DO BRASIL S.A.,31.55
PJ,Capital de Giro,3,BB - PRUDENCIAL,C0080329,00000000,86087364571.09,Capital de giro com prazo superior a 365 dias - Prefixado,BCO DO BRASIL S.A.,33.18
PJ,Capital de Giro,4,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,84007417675.17,Capital de giro com prazo até 365 dias - Prefixado,CAIXA ECONOMICA FEDERAL,28.25
PJ,Capital de Giro,4,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,84007417675.17,Capital de giro com prazo superior a 365 dias - Prefixado,CAIXA ECONOMICA FEDERAL,24.19
PJ,Capital de Giro,5,PAGSEGURO - PRUDENCIAL,C0084813,08561701,42513517739.07,Capital de giro com prazo até 365 dias - Prefixado,BANCOSEGURO S.A.,22.1
PJ,Cheque Especial e Conta Garantida,1,ITAU - PRUDENCIAL,C0080099,60872504,16938319764.92,Cheque especial - Prefixado,ITAÚ UNIBANCO S.A.,511.3
PJ,Cheque Especial e Conta Garantida,1,ITAU - PRUDENCIAL,C0080099,60872504,16938319764.92,Conta garantida - Prefixado,ITAÚ UNIBANCO S.A.,59.12
PJ,Cheque Especial e Conta Garantida,2,SANTANDER - PRUDENCIAL,C0080185,90400888,8261979649.86,Cheque especial - Prefixado,BCO SANTANDER (BRASIL) S.A.,507.23
PJ,Cheque Especial e Conta Garantida,2,SANTANDER - PRUDENCIAL,C0080185,90400888,8261979649.86,Conta garantida - Prefixado,BCO SANTANDER (BRASIL) S.A.,39.46
PJ,Cheque Especial e Conta Garantida,3,BRADESCO - PRUDENCIAL,C0080075,60746948,8012488177.46,Cheque especial - Prefixado,BCO BRADESCO S.A.,484.99
PJ,Cheque Especial e Conta Garantida,3,BRADESCO - PRUDENCIAL,C0080075,60746948,8012488177.46,Conta garantida - Prefixado,BANCO JOHN DEERE S.A. / BCO BRADESCO S.A.,34.71
PJ,Cheque Especial e Conta Garantida,4,BB - PRUDENCIAL,C0080329,00000000,4920012253.22,Cheque especial - Prefixado,BCO DO BRASIL S.A.,433.3
PJ,Cheque Especial e Conta Garantida,4,BB - PRUDENCIAL,C0080329,00000000,4920012253.22,Conta garantida - Prefixado,BCO DO BRASIL S.A.,30.53
