reuniao,data,titulo,url_pdf,link,ident,n_caracteres,selic_antes,selic,delta_selic,decisao,voto,trecho,inflacao,cambio,fiscal,atividade,credito,externo,expectativas,guidance,credibilidade,pandemia,ano
144,2009-07-22,144ª Reunião,,/publicacoes/atascopom/22072009,22072009,61031,9.25,8.75,-0.5,corte,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância em…",63,10,5,37,19,7,26,1,0,0,2009
145,2009-09-02,145ª Reunião,,/publicacoes/atascopom/02092009,2092009,57824,8.75,8.75,0.0,manutenção,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância em…",58,10,6,29,18,8,20,1,1,0,2009
146,2009-10-21,146ª Reunião,,/publicacoes/atascopom/21102009,21102009,57561,8.75,8.75,0.0,manutenção,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância em…",56,9,7,30,17,9,17,1,1,0,2009
147,2009-12-09,147ª Reunião,,/publicacoes/atascopom/09122009,9122009,56946,8.75,8.75,0.0,manutenção,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve concentrar-se, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. Tais considerações ganham ainda mais relevância em…",59,8,6,31,17,9,18,1,1,0,2009
148,2010-01-27,148ª Reunião,,/publicacoes/atascopom/27012010,27012010,49837,8.75,8.75,0.0,manutenção,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a avaliação de decisões alternativas de política monetária deve se concentrar, necessariamente, na análise do cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes observados para essa variável. O Comitê reafirma que movimentos específicos de…",53,8,6,27,17,11,17,1,0,0,2010
149,2010-03-17,149ª Reunião,,/publicacoes/atascopom/17032010,17032010,56090,8.75,8.75,0.0,manutenção,—,Implementação da política monetária Inflação Atividade econômica Expectativas e sondagens Mercado de trabalho Crédito e inadimplência Ambiente externo Comércio exterior e reservas internacionais Mercado monetário e operações de mercado aberto Data: 16 e 17/03/2010 Local: Sala de reuniões do 8º andar (16/03) e do 20º andar (17/03) do Edifício-Sede do Banco Central do Brasil – Brasília – DF Horário de início: 16h20…,53,7,7,29,18,13,19,1,0,0,2010
150,2010-04-28,150ª Reunião,,/publicacoes/atascopom/28042010,28042010,58114,8.75,9.5,0.75,alta,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a análise de decisões alternativas de política monetária deve se concentrar, necessariamente, no cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores observados para essa variável. O cenário prospectivo, a rigor, sofreu certa deterioração neste início de…",58,7,7,28,17,12,17,1,0,0,2010
151,2010-06-09,151ª Reunião,,/publicacoes/atascopom/09062010,9062010,57854,9.5,10.25,0.75,alta,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a análise de decisões alternativas de política monetária deve se concentrar, necessariamente, no cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes e passados para essa variável. O cenário prospectivo, a rigor, sofreu certa deterioração no…",53,9,6,29,15,10,15,1,0,0,2010
152,2010-07-21,152ª Reunião,,/publicacoes/atascopom/21072010,21072010,55850,10.25,10.75,0.5,alta,unânime,"implementação da política monetária e seus efeitos tanto sobre o nível de atividade como sobre a inflação. Dessa forma, a análise de decisões alternativas de política monetária deve se concentrar, necessariamente, no cenário prospectivo para a inflação e nos riscos a ele associados, em vez de privilegiar valores correntes e passados para essa variável. O cenário prospectivo, a rigor, sofreu deterioração substancial…",56,9,5,24,16,14,13,1,0,0,2010
153,2010-09-01,153ª Reunião,,/publicacoes/atascopom/01092010,1092010,58635,10.75,10.75,0.0,manutenção,unânime,"implementação da política monetária. 19. Como consequência da estabilização e da correção de desequilíbrios, as quais determinaram mudanças estruturais importantes, o processo de amadurecimento do regime de metas se encontra em estágio avançado, e isso se reflete favoravelmente na dinâmica da taxa de juros neutra e na potência da política monetária. Evidências a esse respeito são oferecidas, entre outros, pelo…",61,10,6,38,16,13,11,1,0,0,2010
