linha,item,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,jan/97–dez/02_R$bi,jan/03–mai/16_R$bi,jun/16–dez/18_R$bi,jan/19–dez/22_R$bi,jan/23–mai/26_R$bi
105,4.3.15.1.6 Programa especial de saneamento de ativos (PESA) 6/,245.12,16907.93,3704.7,3531.65,2410.42,0.25,16.91,3.7,3.53,2.41
106,4.3.15.1.7 Álcool,0.0,137.57,162.93,25.23,0.0,0.0,0.14,0.16,0.03,0.0
107,4.3.15.1.8 Cacau,0.0,14.85,44.46,12.35,0.0,0.0,0.01,0.04,0.01,0.0
108,4.3.15.1.9 Programa de subsídio à habitação de interesse social (PSH),217.87,5148.33,0.0,0.0,0.0,0.22,5.15,0.0,0.0,0.0
109,4.3.15.1.10 Securitização da dívida agrícola (LEI 9.138/1995),20611.73,26721.97,0.0,0.0,0.0,20.61,26.72,0.0,0.0,0.0
110,4.3.15.1.11 Fundo da terra/ INCRA 5/,0.0,19225.37,1003.64,1367.73,3324.55,0.0,19.23,1.0,1.37,3.32
111,4.3.15.1.12 Funcafé,0.0,1311.7,454.26,83.57,0.0,0.0,1.31,0.45,0.08,0.0
112,4.3.15.1.13 Revitaliza ,0.0,385.95,58.66,9.92,0.53,0.0,0.39,0.06,0.01,0.0
113,4.3.15.1.14 Programa de Sustentação ao Investimento - PSI,0.0,63763.24,28488.5,9119.0,1137.0,0.0,63.76,28.49,9.12,1.14
114,4.3.15.1.15 Operações de Microcredito Produtivo Orientado (EQMPO),0.0,2903.39,8.21,0.0,0.0,0.0,2.9,0.01,0.0,0.0
115,4.3.15.1.16 Operações de crédito destinadas a Pessoas com deficiência (EQPCD) 7/,0.0,16.15,24.96,44.33,41.78,0.0,0.02,0.02,0.04,0.04
116,4.3.15.1.17 Fundo nacional de desenvolvimento (FND) 5/,0.0,-13543.0,0.0,0.0,0.0,0.0,-13.54,0.0,0.0,0.0
117,4.3.15.1.18 Fundo Setorial Audiovisual (FSA),0.0,2326.7,2523.18,2618.97,4398.22,0.0,2.33,2.52,2.62,4.4
118,4.3.15.1.19 Capitalização à Emgea,0.0,18148.48,0.0,0.0,0.0,0.0,18.15,0.0,0.0,0.0
119,4.3.15.1.20 Subv. Parcial à Remuneração por Cessão de Energia Elétrica de Itaipu,0.0,4539.69,0.0,0.0,0.0,0.0,4.54,0.0,0.0,0.0
120,4.3.15.1.21 Subvenções Econômicas,0.0,298.58,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0
121,4.3.15.1.22 Equalização dos Fundos FDA/FDNE/FDCO,0.0,109.08,180.61,185.44,66.92,0.0,0.11,0.18,0.19,0.07
122,4.3.15.1.23 Sudene,0.0,0.0,535.89,222.67,79.62,0.0,0.0,0.54,0.22,0.08
123,4.3.15.1.24 Receitas de Recuperação de Subvenções 8/,0.0,-418.63,-135.56,-995.31,-467.48,0.0,-0.42,-0.14,-1.0,-0.47
124,4.3.15.2 Proagro,0.0,10799.96,2045.75,11343.42,21976.69,0.0,10.8,2.05,11.34,21.98
125,4.3.15.3 PNAFE,0.0,-1365.44,-426.92,-86.58,-62.4,0.0,-1.37,-0.43,-0.09,-0.06
126,4.3.15.4 Demais Subsídios e Subvenções,0.0,229.89,16.25,8550.88,-2409.28,0.0,0.23,0.02,8.55,-2.41
127,4.3.16 Transferências ANA,0.0,4411.21,1217.13,793.52,411.74,0.0,4.41,1.22,0.79,0.41
128,4.3.17 Transferências Multas ANEEL,0.0,1829.83,3923.64,7645.2,7415.88,0.0,1.83,3.92,7.65,7.42
129,4.3.18 Impacto Primário do FIES,0.0,50160.38,20538.03,1714.33,6807.9,0.0,50.16,20.54,1.71,6.81
130,4.3.19 Financiamento de Campanha Eleitoral,0.0,0.0,2593.07,8817.22,5433.77,0.0,0.0,2.59,8.82,5.43
131,4.3.20 Demais Despesas Obrigatórias,5428.74,60268.22,1598.45,0.0,0.0,5.43,60.27,1.6,0.0,0.0
132,4.3.20.1 Auxílio CDE,0.0,36399.63,267.55,0.0,0.0,0.0,36.4,0.27,0.0,0.0
133,4.3.20.2 Convênios,5428.74,4647.44,574.56,0.0,0.0,5.43,4.65,0.57,0.0,0.0
134,4.3.20.3 Doações,0.0,4396.86,756.33,0.0,0.0,0.0,4.4,0.76,0.0,0.0
135,4.3.20.4 FDA/FDNE,0.0,14779.86,0.0,0.0,0.0,0.0,14.78,0.0,0.0,0.0
136,4.3.20.5 Reserva de Contingência,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,4.3.20.6 Ressarc. Est/Mun. Comb. Fósseis,0.0,44.43,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
138,4.4  Despesas do Poder Executivo Sujeitas à Programação Financeira,1269179.22,4698738.84,1057258.77,1585061.9,2026945.0,1269.18,4698.74,1057.26,1585.06,2026.95
139,4.4.1 Obrigatórias com Controle de Fluxo,0.0,1521047.43,528978.01,850920.97,1307987.01,0.0,1521.05,528.98,850.92,1307.99
140,4.4.1.1 Benefícios a servidores públicos,0.0,115474.2,53325.02,74459.46,69757.66,0.0,115.47,53.33,74.46,69.76
141,4.4.1.2 Bolsa Família e Auxílio Brasil,0.0,346242.64,118300.23,214433.32,606541.05,0.0,346.24,118.3,214.43,606.54
142,4.4.1.3 Saúde,0.0,953762.79,319175.32,499451.36,567417.76,0.0,953.76,319.18,499.45,567.42
143,4.4.1.4 Educação,0.0,92319.09,26526.49,35092.27,31460.98,0.0,92.32,26.53,35.09,31.46
144,4.4.1.5 Demais,0.0,13248.71,11650.94,27484.56,32809.57,0.0,13.25,11.65,27.48,32.81
